family,m,n,instance,best_known,best_known_exact,layers,two_qubit,one_qubit,num_params,init,optimizer,lr,steps,function_evals,circuit_equiv,cut_raw,cut_ls,ratio_raw,ratio_ls,final_loss,seconds
reg3,60,6,reg3_m60_s0,83.0,True,2,5,12,27,0,adam,0.01,332,332,18260,67.0,73.0,0.8072289156626506,0.8795180722891566,-21.27411504276592,21.816136100009317
reg3,60,6,reg3_m60_s0,83.0,True,2,5,12,27,1,adam,0.01,732,732,40260,64.0,76.0,0.7710843373493976,0.9156626506024096,-29.964933951144594,34.7494458000001
reg3,60,6,reg3_m60_s0,83.0,True,4,10,24,54,0,adam,0.01,1161,1161,126549,70.0,75.0,0.8433734939759037,0.9036144578313253,-38.85769847348975,120.75500770000508
reg3,60,6,reg3_m60_s0,83.0,True,4,10,24,54,1,adam,0.01,1194,1194,130146,71.0,78.0,0.8554216867469879,0.9397590361445783,-36.935190195661065,97.61023069999646
reg3,60,6,reg3_m60_s0,83.0,True,8,20,48,108,0,adam,0.01,1689,1689,366513,79.0,79.0,0.9518072289156626,0.9518072289156626,-52.19233464663369,255.8124294000154
reg3,60,6,reg3_m60_s0,83.0,True,8,20,48,108,1,adam,0.01,1899,1899,412083,81.0,81.0,0.9759036144578314,0.9759036144578314,-55.802456042115324,202.57483100000536
reg3,60,6,reg3_m60_s0,83.0,True,12,30,72,162,0,adam,0.01,1565,1565,508625,78.0,78.0,0.9397590361445783,0.9397590361445783,-50.937270052576864,194.33743620000314
reg3,60,6,reg3_m60_s0,83.0,True,12,30,72,162,1,adam,0.01,1651,1651,536575,75.0,75.0,0.9036144578313253,0.9036144578313253,-48.99827370573016,212.55996539999614
reg3,60,6,reg3_m60_s1,81.0,True,2,5,12,27,0,adam,0.01,354,354,19470,63.0,73.0,0.7777777777777778,0.9012345679012346,-25.739663001721706,9.033411799988244
reg3,60,6,reg3_m60_s1,81.0,True,2,5,12,27,1,adam,0.01,524,524,28820,61.0,72.0,0.7530864197530864,0.8888888888888888,-23.455296276216075,13.446363800001564
reg3,60,6,reg3_m60_s1,81.0,True,4,10,24,54,0,adam,0.01,1129,1129,123061,68.0,76.0,0.8395061728395061,0.9382716049382716,-32.125826373111764,52.21311820001574
reg3,60,6,reg3_m60_s1,81.0,True,4,10,24,54,1,adam,0.01,1514,1514,165026,71.0,75.0,0.8765432098765432,0.9259259259259259,-32.29370252315708,68.31562839998514
reg3,60,6,reg3_m60_s1,81.0,True,8,20,48,108,0,adam,0.01,2485,2485,539245,76.0,76.0,0.9382716049382716,0.9382716049382716,-49.59284253671323,238.83480450001662
reg3,60,6,reg3_m60_s1,81.0,True,8,20,48,108,1,adam,0.01,1912,1912,414904,75.0,75.0,0.9259259259259259,0.9259259259259259,-48.04981002416496,167.4624068000121
