family,m,n,instance,best_known,method,run,evaluations,ratio
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,10,0.5561181434599156
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,60,0.5738396624472574
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,110,0.5839662447257384
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,160,0.5915611814345991
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,210,0.5957805907172996
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,260,0.5957805907172996
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,310,0.5949367088607594
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,360,0.6025316455696202
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,410,0.6042194092827005
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,460,0.6135021097046414
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,510,0.6135021097046414
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,560,0.6135021097046414
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,610,0.6135021097046414
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,660,0.6143459915611814
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,710,0.6210970464135022
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,760,0.6210970464135022
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,810,0.6210970464135022
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,860,0.6210970464135022
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,910,0.6244725738396625
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,960,0.6261603375527426
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1010,0.6261603375527426
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1060,0.6261603375527426
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1110,0.6261603375527426
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1160,0.6278481012658228
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1210,0.6295358649789029
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1260,0.6295358649789029
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1310,0.6295358649789029
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1360,0.6303797468354431
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1410,0.6371308016877637
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1460,0.6371308016877637
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1510,0.6371308016877637
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1560,0.6371308016877637
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1610,0.6371308016877637
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1660,0.6371308016877637
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1710,0.6371308016877637
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1760,0.6371308016877637
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1810,0.6371308016877637
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1860,0.6371308016877637
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1910,0.6371308016877637
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,1960,0.6371308016877637
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2010,0.6371308016877637
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2060,0.6371308016877637
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2110,0.6371308016877637
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2160,0.6371308016877637
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2210,0.6371308016877637
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2260,0.6371308016877637
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2310,0.639662447257384
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2360,0.639662447257384
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2410,0.639662447257384
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2460,0.639662447257384
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2510,0.639662447257384
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2560,0.639662447257384
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2610,0.639662447257384
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2660,0.639662447257384
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2710,0.639662447257384
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2760,0.6413502109704642
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2810,0.6413502109704642
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2860,0.6413502109704642
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,2910,0.6413502109704642
