family,m,n,instance,best_known,method,run,evaluations,ratio
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,10,0.5903614457831325
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,60,0.6506024096385542
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,110,0.6506024096385542
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,160,0.7228915662650602
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,210,0.6987951807228916
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,260,0.7228915662650602
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,310,0.7349397590361446
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,360,0.7710843373493976
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,410,0.7710843373493976
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,460,0.7590361445783133
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,510,0.7590361445783133
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,560,0.7831325301204819
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,610,0.7831325301204819
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,660,0.7831325301204819
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,710,0.7831325301204819
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,760,0.7831325301204819
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,810,0.7831325301204819
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,860,0.7951807228915663
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,910,0.7951807228915663
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,960,0.7951807228915663
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1010,0.8072289156626506
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1060,0.8072289156626506
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1110,0.8072289156626506
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1160,0.8072289156626506
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1210,0.8072289156626506
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1260,0.8072289156626506
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1310,0.8072289156626506
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1360,0.8072289156626506
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1410,0.8072289156626506
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1460,0.8072289156626506
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1510,0.8072289156626506
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1560,0.8192771084337349
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1610,0.8192771084337349
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1660,0.8192771084337349
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1710,0.8192771084337349
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1760,0.8192771084337349
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1810,0.8192771084337349
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1860,0.8192771084337349
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1910,0.8192771084337349
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,1960,0.8192771084337349
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2010,0.8192771084337349
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2060,0.8192771084337349
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2110,0.8192771084337349
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2160,0.8192771084337349
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2210,0.8192771084337349
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2260,0.8192771084337349
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2310,0.8192771084337349
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2360,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2410,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2460,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2510,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2560,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2610,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2660,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2710,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2760,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2810,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2860,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2910,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,2960,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3010,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3060,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3110,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3160,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3210,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3260,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3310,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3360,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3410,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3460,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3510,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3560,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3610,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3660,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3710,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3760,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3810,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3860,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3910,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3960,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4010,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4060,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4110,0.8433734939759037
