target,teacher_layers,seed,stage,holdout,corpus_index,target_cut,target_loss,step,discrete_layers,seq_len,budget,evaluations_at_best,D_c,rel_err,A_x,A_x_flip,ratio,target_ratio,median_abs_corr,target_median_abs_corr,ratio_1000shots,two_qubit,non_clifford,random_D_c_mean,random_D_c_min,random_A_x_mean,D_c_at_1000,D_c_at_5000,seconds
T4_s0_final,4,0,final,False,233,70.0,-38.85779783746147,1162,4,24,20000,10360,0.02058204254950175,0.5621261575281553,0.8666666666666667,0.8666666666666667,0.6506024096385542,0.8433734939759037,0.16244835161132704,0.24963487008347066,0.6656626506024096,10,18,0.0956094593446646,0.059300161399462786,0.5006666666666666,0.04121433454045188,0.022592077900417125,42.1575413999999
T4_s0_q25,4,0,q25,False,58,70.0,-36.887170409833494,290,4,24,20000,11560,0.01940532268480215,0.5502525851476187,0.85,0.85,0.6385542168674698,0.8433734939759037,0.13369960423795946,0.23206808453459954,0.6614457831325301,10,18,0.09516901955984423,0.056018796811391505,0.5006666666666666,0.03250234382845921,0.021445529541353252,45.31507689999853
T4_s0_q50,4,0,q50,False,116,70.0,-37.606646055523235,580,4,24,20000,19760,0.01879851851813407,0.5302114251317346,0.8666666666666667,0.8666666666666667,0.6987951807228916,0.8433734939759037,0.13530709679178954,0.22786357537144372,0.6771084337349398,10,18,0.09757833584859345,0.059144348662912426,0.5006666666666666,0.028494977666240776,0.01919681084631379,42.180992499997956
T4_s1_final,4,1,final,False,457,70.0,-38.16458679790351,1113,4,24,20000,19210,0.03251956793656222,0.782029010050844,0.6666666666666666,0.6666666666666666,0.6265060240963856,0.8433734939759037,0.04804897798968941,0.2160602369433754,0.6150602409638554,10,19,0.08492676591770662,0.04738694128307732,0.49683333333333335,0.039691531923457105,0.03371658192993592,40.915568899999926
T4_s2_final,4,2,final,False,632,77.0,-40.824787820152935,866,4,24,20000,10710,0.03216414520427779,0.7780887561062076,0.6666666666666666,0.6666666666666666,0.6385542168674698,0.927710843373494,0.05360339700806464,0.1973569370597809,0.6295180722891566,10,18,0.08557749334915558,0.04460838023574469,0.5031666666666667,0.038757852852125685,0.033229841622456256,40.32111929999883
T4_s3_final,4,3,final,False,817,66.0,-34.34112159709193,920,4,24,20000,19260,0.02637343489138573,0.5900075537827122,0.9166666666666666,0.9166666666666666,0.7349397590361446,0.7951807228915663,0.10276846027609832,0.2385069877283571,0.6897590361445783,10,16,0.10663805883799127,0.06722553534955793,0.499,0.04686360631473567,0.028424261580706107,41.30501460000232
T4_s4_final,4,4,final,False,959,69.0,-38.21311033149506,701,4,24,20000,11710,0.018715426827988456,0.561156870936798,0.8166666666666667,0.8166666666666667,0.6987951807228916,0.8313253012048193,0.10993900195968447,0.22294310034768772,0.6795180722891566,10,19,0.09021021131120248,0.05416575048880851,0.49566666666666664,0.03588290764003658,0.020451270785285785,40.30152430000089
T4_s5_final,4,5,final,False,1081,73.0,-43.25727571708896,604,4,24,20000,16860,0.02167631578778256,0.5745568032964384,0.8833333333333333,0.8833333333333333,0.7469879518072289,0.8795180722891566,0.11212345909294803,0.24798306321644104,0.7319277108433735,10,22,0.09815518528055507,0.055315221266179056,0.5109999999999999,0.0308477668909432,0.025924726648419414,40.19041819999984
T4_s6_final,4,6,final,False,1304,68.0,-29.64707795779421,1107,4,24,20000,19010,0.016314580095409047,0.606070933277853,0.8,0.8,0.6265060240963856,0.8192771084337349,0.0947418899444655,0.18777367456717597,0.6536144578313253,10,20,0.07842248848463304,0.040379373777703426,0.4955,0.022500067552004545,0.017548587841425323,45.19118549999985
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,24,20000,14510,0.018486574833551265,0.6300465647252389,0.8166666666666667,0.8166666666666667,0.6746987951807228,0.8554216867469879,0.06430256202353646,0.1885580157623873,0.6897590361445783,10,18,0.07911220953843237,0.04313017559929631,0.5043333333333333,0.027679781216662973,0.020114205590695985,45.76798140000028
