target,teacher_layers,seed,stage,holdout,corpus_index,target_cut,target_loss,step,discrete_layers,restarts,steps,D_c,rel_err,A_x,A_x_flip,ratio,target_ratio,median_abs_corr,target_median_abs_corr,seconds
T4_s0_final,4,0,final,False,233,70.0,-38.85779783746147,1162,8,4,400,5.822535935572493e-05,0.029898241657709382,1.0,1.0,0.8433734939759037,0.8433734939759037,0.24854008487555834,0.24963487008347066,121.59272789999886
T4_s0_q25,4,0,q25,False,58,70.0,-36.887170409833494,290,8,4,400,8.412048575752337e-05,0.036228682701561495,1.0,1.0,0.8433734939759037,0.8433734939759037,0.22641414741092647,0.23206808453459954,128.72420289999718
T4_s0_q50,4,0,q50,False,116,70.0,-37.606646055523235,580,8,4,400,2.3753817320753538e-05,0.018847509705083847,1.0,1.0,0.8433734939759037,0.8433734939759037,0.22379436614745166,0.22786357537144372,120.04060749999917
T4_s1_final,4,1,final,False,457,70.0,-38.16458679790351,1113,8,4,400,0.00010668377961230228,0.04479191983936006,1.0,1.0,0.8433734939759037,0.8433734939759037,0.20836720919631263,0.2160602369433754,117.74443329999849
T4_s2_final,4,2,final,False,632,77.0,-40.824787820152935,866,8,4,400,8.026836379354493e-05,0.03887007133444011,1.0,1.0,0.927710843373494,0.927710843373494,0.19780161313264216,0.1973569370597809,131.2593937999991
T4_s3_final,4,3,final,False,817,66.0,-34.34112159709193,920,8,4,400,1.6370018207646353e-05,0.014699372818343775,1.0,1.0,0.7951807228915663,0.7951807228915663,0.23824348909584556,0.2385069877283571,113.21629980000216
T4_s4_final,4,4,final,False,959,69.0,-38.21311033149506,701,8,4,400,1.4064775804876505e-05,0.015383346548064248,1.0,1.0,0.8313253012048193,0.8313253012048193,0.21852675254684203,0.22294310034768772,132.7410560999997
T4_s5_final,4,5,final,False,1081,73.0,-43.25727571708896,604,8,4,400,9.696704042328117e-05,0.03842840039363922,1.0,1.0,0.8795180722891566,0.8795180722891566,0.2478139877216985,0.24798306321644104,132.25967279999895
T4_s6_final,4,6,final,False,1304,68.0,-29.64707795779421,1107,8,4,400,3.907543841272892e-05,0.029661112462219422,1.0,1.0,0.8192771084337349,0.8192771084337349,0.18143239702817807,0.18777367456717597,130.4352661999983
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,8,4,400,0.00032105782486269944,0.08303019366745783,1.0,1.0,0.8554216867469879,0.8554216867469879,0.1863861177513205,0.1885580157623873,129.68395890000102
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,8,4,400,0.00019765430601102808,0.07107368012443607,1.0,1.0,0.8674698795180723,0.8674698795180723,0.1820181367765265,0.1861082690956693,129.4516533999995
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,8,4,400,0.00011211989213055334,0.045318218232600176,1.0,1.0,0.8313253012048193,0.8313253012048193,0.20420130223245297,0.2121403059932279,142.65856369999892
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,8,4,400,4.4253623932603165e-05,0.027196704798870593,1.0,1.0,0.8313253012048193,0.8313253012048193,0.20226509829194883,0.19462156139847797,145.65779359999942
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,8,4,400,9.368585331950259e-05,0.04008809880994056,1.0,1.0,0.8313253012048193,0.8313253012048193,0.19606377866183444,0.19334668221545823,145.6280031999995
T8_s0_final,8,0,final,False,2253,79.0,-52.130100036833184,1500,8,4,400,0.0009374114044394007,0.1278530288432911,1.0,1.0,0.9518072289156626,0.9518072289156626,0.1968863594726778,0.22403917148697883,139.96155960000033
T8_s0_q25,8,0,q25,False,2028,74.0,-42.59253568733949,375,8,4,400,0.0002163690690432065,0.0659520177348453,1.0,1.0,0.891566265060241,0.891566265060241,0.20163840316331805,0.21860284609406294,139.28072769999926
T8_s0_q50,8,0,q50,False,2103,79.0,-49.53792869717928,750,8,4,400,0.001203619756049417,0.15177088307213954,1.0,1.0,0.9518072289156626,0.9518072289156626,0.2052043506801296,0.2239180300176315,149.66869529999894
T8_s1_final,8,1,final,False,2554,77.0,-50.204804542250805,1500,8,4,400,0.0008226864218043243,0.11686475897338679,1.0,1.0,0.927710843373494,0.927710843373494,0.21197744346323938,0.23584075955139858,150.03163870000208
T8_s2_final,8,2,final,False,2855,72.0,-42.76650539458483,1500,8,4,400,0.00041982634305344604,0.0798832987862659,1.0,1.0,0.8674698795180723,0.8674698795180723,0.22209029348046702,0.2425291035804361,149.16628619999756
