run,layers,steps,cut,ratio,loss,median_abs_corr
0,4,1162,70.0,0.8433734939759037,-38.85779783746147,0.24963487008347066
1,4,1113,70.0,0.8433734939759037,-38.16458679790351,0.2160602369433754
2,4,866,77.0,0.927710843373494,-40.824787820152935,0.1973569370597809
3,4,920,66.0,0.7951807228915663,-34.34112159709193,0.2385069877283571
4,4,701,69.0,0.8313253012048193,-38.21311033149506,0.22294310034768772
5,4,604,73.0,0.8795180722891566,-43.25727571708896,0.24798306321644104
6,4,1107,68.0,0.8192771084337349,-29.64707795779421,0.18777367456717597
7,4,1213,71.0,0.8554216867469879,-35.68206744446223,0.1885580157623873
8,4,889,72.0,0.8674698795180723,-36.66570584041992,0.1861082690956693
9,4,1118,69.0,0.8313253012048193,-34.45158853023959,0.2121403059932279
10,8,1500,79.0,0.9518072289156626,-52.130100036833184,0.22403917148697883
11,8,1500,77.0,0.927710843373494,-50.204804542250805,0.23584075955139858
12,8,1500,72.0,0.8674698795180723,-42.76650539458483,0.2425291035804361
13,8,1500,81.0,0.9759036144578314,-56.24671446207684,0.23393075497182825
14,8,1500,78.0,0.9397590361445783,-52.38811036600706,0.23755894236977732
15,8,1315,82.0,0.9879518072289156,-58.74879440787134,0.2527900871332837
16,8,1500,82.0,0.9879518072289156,-57.04230942581566,0.22756330824415563
17,8,1500,73.0,0.8795180722891566,-44.73677744261605,0.2398042697687081
18,8,1500,78.0,0.9397590361445783,-49.27619636986244,0.21713757020705818
19,8,1500,76.0,0.9156626506024096,-46.40126823483637,0.22798176828414007
