target,holdout,teacher_layers,discrete_layers,target_ratio,D_c_search,D_c_refined,D_c_pool_grid,D_c_M8,A_x_M8,ratio_M8,D_c_M16,A_x_M16,ratio_M16,D_c_M32,A_x_M32,ratio_M32,D_c_M64,A_x_M64,ratio_M64
T4_s0_final,False,4,8,0.8433734939759037,0.03095664114412736,0.008154505617866369,0.040553150212282896,0.033506657844438285,0.7833333333333333,0.7349397590361446,0.017998011864422788,0.9,0.7469879518072289,0.010361758691649403,0.95,0.8313253012048193,0.00946415894961854,0.9333333333333333,0.8192771084337349
T4_s0_q25,False,4,8,0.8433734939759037,0.026330812928043533,0.01536509417050434,0.05780179046485234,0.03195608761675485,0.7833333333333333,0.6867469879518072,0.024395909865169405,0.85,0.7831325301204819,0.017869831601151468,0.9166666666666666,0.7108433734939759,0.015670823448336972,0.95,0.7831325301204819
T4_s0_q50,False,4,8,0.8433734939759037,0.015658647310278637,0.0023186754089188056,0.04679157736262209,0.0261692273289683,0.8833333333333333,0.6626506024096386,0.007557485248420378,0.95,0.8072289156626506,0.004956205260134118,0.9333333333333333,0.7951807228915663,0.0028624329489772148,0.9666666666666667,0.8192771084337349
T4_s1_final,False,4,8,0.8433734939759037,0.02317468274635946,0.0014445327798003097,0.03300212084951913,0.03249356874660366,0.7666666666666667,0.5542168674698795,0.007004324710956506,0.95,0.8072289156626506,0.003315920746069631,0.9833333333333333,0.8313253012048193,0.001689212190475432,0.9833333333333333,0.8313253012048193
T4_s2_final,False,4,8,0.927710843373494,0.015496326954484966,0.011601660850004913,0.020705065699047485,0.030890637998551476,0.7833333333333333,0.6987951807228916,0.019942379614589348,0.8166666666666667,0.6987951807228916,0.014094373394238796,0.8666666666666667,0.7831325301204819,0.012774542833423861,0.8333333333333334,0.7349397590361446
T4_s3_final,False,4,8,0.7951807228915663,0.023598568416988076,0.014860465204001869,0.034435607478001846,0.03350541939988625,0.8333333333333334,0.6746987951807228,0.025729163342681282,0.8833333333333333,0.7108433734939759,0.01678092890278039,0.9166666666666666,0.7590361445783133,0.015489089689451249,0.95,0.7831325301204819
T4_s4_final,False,4,8,0.8313253012048193,0.030558527288726618,0.022291188696667012,0.047420071993534235,0.04177644784121173,0.6666666666666666,0.46987951807228917,0.026363017144079397,0.9,0.8313253012048193,0.023710233663082957,0.8833333333333333,0.7951807228915663,0.02275929747695655,0.9166666666666666,0.7951807228915663
T4_s5_final,False,4,8,0.8795180722891566,0.03627633858779776,0.028138301897964457,0.045459183259130814,0.05535862769563624,0.6666666666666666,0.5421686746987951,0.03214426747927264,0.9,0.7831325301204819,0.030385068463003595,0.9,0.8072289156626506,0.02872329905184249,0.9166666666666666,0.7710843373493976
T4_s6_final,False,4,8,0.8192771084337349,0.013394032668190432,0.0065503666372694275,0.03215161063216897,0.031206667362578388,0.7833333333333333,0.6626506024096386,0.014052584472360933,0.8333333333333334,0.6987951807228916,0.008712324246191037,0.9333333333333333,0.7710843373493976,0.007105626649239456,0.9666666666666667,0.7951807228915663
T4_s7_final,True,4,8,0.8554216867469879,0.01595815201287114,0.0009797303774390909,0.0535459385165297,0.01859617911717728,0.85,0.7228915662650602,0.005936998860648867,0.9666666666666667,0.8072289156626506,0.002812796385031581,1.0,0.8554216867469879,0.0013264237781843767,1.0,0.8554216867469879
T4_s8_final,True,4,8,0.8674698795180723,0.012994805590146735,0.007177067065462829,0.017024250097124,0.020990439022092137,0.7166666666666667,0.5903614457831325,0.015610658291609037,0.8666666666666667,0.7710843373493976,0.00841231516906789,0.9166666666666666,0.7349397590361446,0.007793232050795249,0.95,0.7831325301204819
T4_s9_final,True,4,8,0.8313253012048193,0.009384436510780936,0.004135453726284758,0.0150431549866071,0.030326528988255618,0.8666666666666667,0.6385542168674698,0.01212963607433053,0.9,0.7108433734939759,0.007165982079222721,0.9333333333333333,0.8554216867469879,0.004824041219740235,0.9666666666666667,0.8313253012048193
T4_s9_q25,True,4,8,0.8313253012048193,0.011981474123541735,0.0032087089570626464,0.020925252535436298,0.024616933563595168,0.8166666666666667,0.6987951807228916,0.010348362104562553,0.95,0.7951807228915663,0.00597487443308894,0.9666666666666667,0.8313253012048193,0.0037279383566815785,0.9666666666666667,0.8313253012048193
T4_s9_q50,True,4,8,0.8313253012048193,0.013440634816693728,0.0007793372636256423,0.03974691300138708,0.03621216131392642,0.7166666666666667,0.6265060240963856,0.0058920121507975345,0.9833333333333333,0.7951807228915663,0.0025495101398491623,1.0,0.8313253012048193,0.0012747752381796755,1.0,0.8313253012048193
T8_s0_final,False,8,8,0.9518072289156626,0.024310835983675855,0.008165949164255493,0.034287227224226974,0.029407178629780685,0.7666666666666667,0.6626506024096386,0.016921789065544354,0.95,0.891566265060241,0.010459594417891032,0.9833333333333333,0.9156626506024096,0.00871058995760126,0.9833333333333333,0.9156626506024096
T8_s0_q25,False,8,8,0.891566265060241,0.018165912771123945,0.006093673266874069,0.014755168280178964,0.01889357577026494,0.85,0.7349397590361446,0.010206776163952649,0.9666666666666667,0.8433734939759037,0.007464194050224035,0.9833333333333333,0.8795180722891566,0.006577965279957799,1.0,0.891566265060241
T8_s0_q50,False,8,8,0.9518072289156626,0.019184262366159298,0.008043088755747425,0.022515586125593554,0.028647619855925253,0.8166666666666667,0.6987951807228916,0.015222628996618968,0.8833333333333333,0.8433734939759037,0.010256497341537508,0.9833333333333333,0.9397590361445783,0.008860319749046634,0.9666666666666667,0.927710843373494
T8_s1_final,False,8,8,0.927710843373494,0.023800531313357458,0.008778236812445307,0.02377283442468348,0.04344481765296315,0.7,0.6385542168674698,0.014042190035344944,0.95,0.8433734939759037,0.010670006906949522,0.9666666666666667,0.8795180722891566,0.00956799953308659,0.9833333333333333,0.9156626506024096
T8_s2_final,False,8,8,0.8674698795180723,0.0262380740734777,0.01237816818788045,0.044730113465908224,0.04269978145108581,0.7166666666666667,0.5903614457831325,0.026223240620677032,0.9,0.8192771084337349,0.01406143983704044,0.9666666666666667,0.8433734939759037,0.012938896902337458,0.9666666666666667,0.8433734939759037
T8_s3_final,False,8,8,0.9759036144578314,0.023289805017862417,0.012013300405882112,0.05509170412245117,0.03514264218276562,0.7833333333333333,0.7710843373493976,0.01904754625805071,0.95,0.891566265060241,0.014347571252716627,0.9333333333333333,0.8554216867469879,0.012246978792171754,0.9666666666666667,0.927710843373494
T8_s4_final,False,8,8,0.9397590361445783,0.02801909985634994,0.012894818026070036,0.058943896217001496,0.036942769627685834,0.7833333333333333,0.6867469879518072,0.02362361142770191,0.9333333333333333,0.891566265060241,0.01577736648013893,0.9333333333333333,0.891566265060241,0.013624052345688335,0.9166666666666666,0.8554216867469879
T8_s5_final,False,8,8,0.9879518072289156,0.02519038111733617,0.00933763992067771,0.04606987019882094,0.03154308016990213,0.8166666666666667,0.7349397590361446,0.01552805869100468,0.95,0.9036144578313253,0.011458464118904381,0.95,0.9036144578313253,0.009779604743358272,0.95,0.9036144578313253
