target,teacher_layers,seed,stage,holdout,corpus_index,target_cut,target_loss,step,discrete_layers,method,K,executed,D_c,rel_err,A_x,A_x_flip,ratio,target_ratio,median_abs_corr,target_median_abs_corr,temperature,min_hamming_to_train,unique_fraction,ratio_1000shots,max_ratio_any_sample,sampled,filter_spearman
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,random,1,1,0.07498905347574925,1.2559698908914703,0.5115,0.5538333333333333,0.5312048192771083,0.8554216867469882,0.020231270542830103,0.18855801576238726,,,,,,,
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,random,10,10,0.052448471516683436,1.060221442531,0.5283333333333333,0.5416666666666667,0.53855421686747,0.8554216867469879,0.012492103759112336,0.18855801576238732,,,,,,,
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,random,100,100,0.04744925819326098,1.0093903186585391,0.55,0.55,0.6746987951807228,0.8554216867469879,0.008026085002018502,0.1885580157623873,,,,,,,
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,generator_T1.0,1,1,0.06713463835659188,1.1926281808910857,0.528,0.5589999999999999,0.5539759036144577,0.8554216867469882,0.0465743040909517,0.18855801576238726,1.0,8.18,1.0,,,,
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,generator_T1.0,10,10,0.04943053897594772,1.0291776242513715,0.575,0.575,0.5939759036144578,0.8554216867469879,0.03766229882689729,0.18855801576238732,1.0,8.18,1.0,,,,
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,generator_T1.0,100,100,0.043046368685917914,0.9614189585970974,0.6833333333333333,0.6833333333333333,0.5542168674698795,0.8554216867469879,0.03781411066522407,0.1885580157623873,1.0,8.18,1.0,0.5259036144578313,0.7469879518072289,,
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,generator+filter_T1.0,1,1,0.06358833440938728,1.1631159763908523,0.5205,0.5621666666666666,0.5396385542168675,0.8554216867469882,0.0353228126592046,0.18855801576238726,1.0,,,,,1000.0,0.0978097809780978
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,generator+filter_T1.0,10,10,0.04714068964947614,1.0054267978754672,0.5883333333333333,0.5883333333333333,0.5554216867469879,0.8554216867469879,0.03655879558526725,0.18855801576238732,1.0,,,,,1000.0,0.0978097809780978
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,generator+filter_T1.0,100,100,0.04259660795809347,0.9563831806096303,0.55,0.55,0.5783132530120482,0.8554216867469879,7.806255641895632e-17,0.1885580157623873,1.0,,,,,1000.0,0.0978097809780978
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,generator_T0.7,1,1,0.06264638230175629,1.1553336673349255,0.5445,0.5651666666666666,0.5755421686746988,0.8554216867469882,0.06551170062585944,0.18855801576238726,0.7,3.08,0.75,,,,
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,generator_T0.7,10,10,0.049098718913897464,1.0262204522421334,0.605,0.6083333333333333,0.5216867469879518,0.8554216867469879,0.04993188834475363,0.18855801576238732,0.7,3.08,0.75,,,,
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,generator_T0.7,100,100,0.04365863953394375,0.9682321975493954,0.48333333333333334,0.5166666666666666,0.5542168674698795,0.8554216867469879,0.03269400423381244,0.1885580157623873,0.7,3.08,0.75,0.5445783132530121,0.7710843373493976,,
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,nearest_train,1,0,0.03402683022252347,0.8547816068599915,0.6333333333333333,0.6333333333333333,0.5421686746987951,0.8554216867469879,0.040268247947096825,0.1885580157623873,,,,,,,
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,nearest_train,10,0,0.03402683022252347,0.8547816068599915,0.6333333333333333,0.6333333333333333,0.5421686746987951,0.8554216867469879,0.040268247947096825,0.1885580157623873,,,,,,,
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,nearest_train,100,0,0.03402683022252347,0.8547816068599915,0.6333333333333333,0.6333333333333333,0.5421686746987951,0.8554216867469879,0.040268247947096825,0.1885580157623873,,,,,,,
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,search_ceiling,0,20000,0.018486574833551265,0.6300465647252389,0.8166666666666667,0.8166666666666667,0.6746987951807228,0.8554216867469879,0.06430256202353646,0.1885580157623873,,,,0.6897590361445783,,,
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,random,1,1,0.0679910118586783,1.3028578496868548,0.5035000000000001,0.5561666666666665,0.49915662650602405,0.8674698795180721,0.017500273105902603,0.18610826909566927,,,,,,,
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,random,10,10,0.04536657100890884,1.0751231903505427,0.53,0.5566666666666665,0.5108433734939759,0.8674698795180722,0.012572321878504687,0.1861082690956693,,,,,,,
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,random,100,100,0.03842045829920957,0.990916212052457,0.55,0.55,0.46987951807228917,0.8674698795180723,8.326672684688674e-17,0.1861082690956693,,,,,,,
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,generator_T1.0,1,1,0.05672955243676564,1.1961623565510202,0.5473333333333332,0.5676666666666667,0.5775903614457831,0.8674698795180721,0.0746722933210175,0.18610826909566927,1.0,5.56,0.87,,,,
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,generator_T1.0,10,10,0.034828114982141466,0.9376895004306721,0.5916666666666666,0.595,0.5987951807228915,0.8674698795180722,0.048481086785664096,0.1861082690956693,1.0,5.56,0.87,,,,
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,generator_T1.0,100,100,0.028249247529597322,0.8496872575281121,0.6166666666666667,0.6166666666666667,0.6626506024096386,0.8674698795180723,0.05883761515335084,0.1861082690956693,1.0,5.56,0.87,0.6560240963855422,0.7469879518072289,,
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,generator+filter_T1.0,1,1,0.033016799036649266,0.9156438640976614,0.6146666666666666,0.6156666666666666,0.6291566265060241,0.8674698795180721,0.052630965945653044,0.18610826909566927,1.0,,,,,1000.0,-0.0752163168116796
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,generator+filter_T1.0,10,10,0.026120040652017888,0.816789682459593,0.6433333333333333,0.6433333333333333,0.6626506024096386,0.8674698795180722,0.056956821094406786,0.1861082690956693,1.0,,,,,1000.0,-0.0752163168116796
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,generator+filter_T1.0,100,100,0.02504418531111272,0.8000352406744434,0.6666666666666666,0.6666666666666666,0.6746987951807228,0.8674698795180723,0.06348929984340392,0.1861082690956693,1.0,,,,,1000.0,-0.0752163168116796
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,generator_T0.7,1,1,0.054734921768491464,1.1771951865016819,0.5913333333333333,0.595,0.6224096385542169,0.8674698795180721,0.12089707528291857,0.18610826909566927,0.7,1.36,0.45,,,,
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,generator_T0.7,10,10,0.036980767339242465,0.9677623514960118,0.5566666666666666,0.5599999999999999,0.6168674698795181,0.8674698795180722,0.06252993973242935,0.1861082690956693,0.7,1.36,0.45,,,,
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,generator_T0.7,100,100,0.0301532384614842,0.8778547116252811,0.6,0.6,0.6746987951807228,0.8674698795180723,0.08160645614136736,0.1861082690956693,0.7,1.36,0.45,0.6662650602409638,0.7590361445783133,,
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,nearest_train,1,0,0.02125171239633186,0.7369747835733376,0.7166666666666667,0.7166666666666667,0.6385542168674698,0.8674698795180723,0.04957921430468559,0.1861082690956693,,,,,,,
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,nearest_train,10,0,0.02125171239633186,0.7369747835733376,0.7166666666666667,0.7166666666666667,0.6385542168674698,0.8674698795180723,0.04957921430468559,0.1861082690956693,,,,,,,
