target,teacher_layers,seed,stage,holdout,corpus_index,target_cut,target_loss,step,discrete_layers,D_c_search,D_c_refined,D_c_snapped,A_x_refined,ratio_refined,A_x_snapped,ratio_snapped,mean_abs_angle_move,seconds
T4_s0_final,4,0,final,False,233,70.0,-38.85779783746147,1162,4,0.020582042678442884,0.016729970221014023,0.02791018914104189,0.9166666666666666,0.6867469879518072,0.75,0.6144578313253012,0.2237381417429826,8.91847129999951
T4_s0_q25,4,0,q25,False,58,70.0,-36.887170409833494,290,4,0.019405322680238254,0.014685918515664372,0.03103656998977241,0.95,0.8072289156626506,0.8666666666666667,0.6746987951807228,0.31836495964719047,5.652598699998634
T4_s0_q50,4,0,q50,False,116,70.0,-37.606646055523235,580,4,0.018798518467515114,0.016060121265419582,0.019893812671049373,0.8833333333333333,0.7108433734939759,0.9,0.7228915662650602,0.29843194851673616,5.336040799997136
T4_s1_final,4,1,final,False,457,70.0,-38.16458679790351,1113,4,0.03251956791832442,0.017238056055029632,0.04968780665225505,0.8166666666666667,0.7108433734939759,0.5666666666666667,0.6265060240963856,0.8997094876027062,5.703623800000059
T4_s2_final,4,2,final,False,632,77.0,-40.824787820152935,866,4,0.03216414537366137,0.026089749029612627,0.036047930287496116,0.7833333333333333,0.6506024096385542,0.75,0.6987951807228916,0.4109288747839009,5.671999499998492
T4_s3_final,4,3,final,False,817,66.0,-34.34112159709193,920,4,0.026373434772841896,0.00257499381808375,0.07575958298141598,0.9833333333333333,0.7831325301204819,0.5333333333333333,0.5783132530120482,0.6498655313741559,5.480937500000437
T4_s4_final,4,4,final,False,959,69.0,-38.21311033149506,701,4,0.01871542685935228,0.012850413959108842,0.03830365235472386,0.9166666666666666,0.7228915662650602,0.7666666666666667,0.5903614457831325,0.3937961382468405,5.335497799998848
T4_s5_final,4,5,final,False,1081,73.0,-43.25727571708896,604,4,0.021676315644567352,0.01704567872540535,0.02641093521986879,0.9333333333333333,0.8072289156626506,0.85,0.6506024096385542,0.3506706786609642,5.258492599998135
T4_s6_final,4,6,final,False,1304,68.0,-29.64707795779421,1107,4,0.01631458009347824,0.009765711089080926,0.017301532596072134,0.8833333333333333,0.7108433734939759,0.8666666666666667,0.7710843373493976,0.4839073699239928,5.397819699999673
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,0.018486574869782446,0.01431585318715259,0.03520005412909523,0.8833333333333333,0.6987951807228916,0.7166666666666667,0.5783132530120482,0.42823646116916575,5.954861700000038
