discrete_layers,teacher_layers,stage,n,target_r,D_c,D_c_random,A_x,r,r_1000,abs_c,target_abs_c
4,4,final,10,0.8494,0.0219,0.0874,0.8167,0.6904,0.6799,0.0972,0.2147
4,4,q25,2,0.8373,0.018,0.0921,0.8417,0.6506,0.6846,0.1426,0.2133
4,4,q50,2,0.8373,0.0197,0.0926,0.8583,0.6867,0.6759,0.1332,0.2106
4,8,final,10,0.9373,0.0329,0.092,0.7983,0.6976,0.6875,0.0783,0.2339
4,8,q25,2,0.9036,0.0233,0.082,0.8167,0.6747,0.6771,0.1009,0.2105
4,8,q50,2,0.9337,0.0363,0.0853,0.7333,0.6566,0.6473,0.0594,0.2246
8,4,final,10,0.8494,0.0212,0.077,0.8583,0.7253,0.6995,0.095,0.2147
8,4,q25,2,0.8373,0.0192,0.0832,0.8333,0.6928,0.7024,0.1044,0.2133
8,4,q50,2,0.8373,0.0145,0.0838,0.875,0.6867,0.6834,0.135,0.2106
8,8,final,10,0.9373,0.0259,0.0806,0.865,0.7675,0.7429,0.0986,0.2339
8,8,q25,2,0.9036,0.0159,0.0704,0.875,0.741,0.7316,0.1287,0.2105
8,8,q50,2,0.9337,0.0185,0.0737,0.8833,0.8253,0.7759,0.1078,0.2246
