discrete_layers,method,K,D_c,A_x,ratio,median_abs_corr,target_ratio
4,generator+filter_T1.0,1,0.059,0.5721,0.6027,0.0635,0.8783
4,generator+filter_T1.0,10,0.0474,0.6147,0.633,0.0632,0.8783
4,generator+filter_T1.0,100,0.0435,0.6517,0.6723,0.0545,0.8783
4,generator_T0.7,1,0.0592,0.6014,0.6744,0.0842,0.8783
4,generator_T0.7,10,0.0497,0.6187,0.6682,0.0735,0.8783
4,generator_T0.7,100,0.0458,0.6,0.6373,0.0615,0.8783
4,generator_T1.0,1,0.0637,0.5722,0.6222,0.069,0.8783
4,generator_T1.0,10,0.0494,0.6103,0.6655,0.0658,0.8783
4,generator_T1.0,100,0.045,0.6317,0.6482,0.0658,0.8783
4,nearest_train,1,0.0389,0.7,0.6325,0.0523,0.8783
4,nearest_train,10,0.0389,0.7,0.6325,0.0523,0.8783
4,nearest_train,100,0.0389,0.7,0.6325,0.0523,0.8783
4,random,1,0.0828,0.5006,0.5128,0.0212,0.8783
4,random,10,0.0584,0.5392,0.524,0.0131,0.8783
4,random,100,0.0507,0.5883,0.547,0.0101,0.8783
4,search_ceiling,0,0.0239,0.8117,0.6916,0.0963,0.8783
8,generator+filter_T1.0,1,0.057,0.6025,0.6225,0.0711,0.8783
8,generator+filter_T1.0,10,0.0462,0.6512,0.6702,0.07,0.8783
8,generator+filter_T1.0,100,0.0429,0.665,0.6434,0.065,0.8783
8,generator_T0.7,1,0.0547,0.6325,0.7096,0.0817,0.8783
8,generator_T0.7,10,0.0478,0.6628,0.7459,0.0808,0.8783
8,generator_T0.7,100,0.0456,0.6583,0.7036,0.0748,0.8783
8,generator_T1.0,1,0.0608,0.5889,0.626,0.0736,0.8783
8,generator_T1.0,10,0.0477,0.6538,0.6955,0.0733,0.8783
8,generator_T1.0,100,0.0434,0.6683,0.641,0.0616,0.8783
8,nearest_train,1,0.037,0.6583,0.6024,0.059,0.8783
8,nearest_train,10,0.037,0.6583,0.6024,0.059,0.8783
8,nearest_train,100,0.037,0.6583,0.6024,0.059,0.8783
8,random,1,0.0741,0.5003,0.5378,0.0538,0.8783
8,random,10,0.0566,0.5477,0.5378,0.0448,0.8783
8,random,100,0.0484,0.5683,0.547,0.0421,0.8783
8,search_ceiling,0,0.0171,0.8717,0.7398,0.105,0.8783
