target,teacher_layers,seed,stage,holdout,corpus_index,target_cut,target_loss,step
T4_s0_final,4,0,final,False,233,70.0,-38.85779783746147,1162
T4_s0_q25,4,0,q25,False,58,70.0,-36.887170409833494,290
T4_s0_q50,4,0,q50,False,116,70.0,-37.606646055523235,580
T4_s1_final,4,1,final,False,457,70.0,-38.16458679790351,1113
T4_s2_final,4,2,final,False,632,77.0,-40.824787820152935,866
T4_s3_final,4,3,final,False,817,66.0,-34.34112159709193,920
T4_s4_final,4,4,final,False,959,69.0,-38.21311033149506,701
T4_s5_final,4,5,final,False,1081,73.0,-43.25727571708896,604
T4_s6_final,4,6,final,False,1304,68.0,-29.64707795779421,1107
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560
T8_s0_final,8,0,final,False,2253,79.0,-52.130100036833184,1500
T8_s0_q25,8,0,q25,False,2028,74.0,-42.59253568733949,375
T8_s0_q50,8,0,q50,False,2103,79.0,-49.53792869717928,750
T8_s1_final,8,1,final,False,2554,77.0,-50.204804542250805,1500
T8_s2_final,8,2,final,False,2855,72.0,-42.76650539458483,1500
T8_s3_final,8,3,final,False,3156,81.0,-56.24671446207684,1500
T8_s4_final,8,4,final,False,3457,78.0,-52.38811036600706,1500
T8_s5_final,8,5,final,False,3721,82.0,-58.74879440787134,1315
T8_s6_final,8,6,final,False,4022,82.0,-57.04230942581566,1500
T8_s7_final,8,7,final,True,4323,73.0,-44.73677744261605,1500
T8_s8_final,8,8,final,True,4624,78.0,-49.27619636986244,1500
T8_s9_final,8,9,final,True,4925,76.0,-46.40126823483637,1500
T8_s9_q25,8,9,q25,True,4700,76.0,-43.02120271580272,375
T8_s9_q50,8,9,q50,True,4775,76.0,-45.58770120603343,750
