pool,tokens,seed,ratio_5k,ratio_final,ratio_1000shots,median_abs_corr,seconds
pool94,97,0,0.8072289156626506,0.8192771084337349,0.7096385542168675,0.07630201127629849,77.50483359999635
pool94,97,1,0.8433734939759037,0.8554216867469879,0.7216867469879518,0.05283990324594667,71.30132720000256
pool94,97,2,0.8192771084337349,0.8554216867469879,0.7728915662650603,0.09260230727711882,77.78983490000246
pool94,97,3,0.8072289156626506,0.8554216867469879,0.7765060240963856,0.07997127381474085,85.67741419999948
pool94,97,4,0.7469879518072289,0.8192771084337349,0.6903614457831325,0.065163630197598,89.28216019999672
pool25,25,0,0.8433734939759037,0.8674698795180723,0.7060240963855422,0.05145733456292095,86.7748064999978
pool25,25,1,0.8795180722891566,0.8795180722891566,0.8409638554216867,0.1395638002972584,86.6945485000033
pool25,25,2,0.8313253012048193,0.8433734939759037,0.6849397590361446,0.053161137778175785,83.68818750000355
pool25,25,3,0.8554216867469879,0.8674698795180723,0.769277108433735,0.09806399336511945,80.86485410000023
pool25,25,4,0.7831325301204819,0.8795180722891566,0.7662650602409639,0.0653915872714911,85.58720439999888
