family,m,n,instance,run,generation,evaluations,best_score,best_cut,pop_mean_cut,median_abs_corr,min_abs_corr,two_qubit,non_clifford,seconds,ratio_best,ratio_pop_mean
reg3,858,13,reg3_m858_s0,0,0,10,0.7731463783233771,659.0,641.7,0.005733757339549974,0.0,48,70,0.2568273000069894,0.5561181434599156,0.5415189873417722
reg3,858,13,reg3_m858_s0,0,5,260,0.8320269810037247,706.0,698.4,0.011344000746178914,7.183322069645841e-07,48,72,6.491501699987566,0.5957805907172996,0.5893670886075949
reg3,858,13,reg3_m858_s0,0,10,510,0.8580380958079517,727.0,714.9,0.013246511114828255,0.0,48,75,12.793398100009654,0.6135021097046414,0.6032911392405063
reg3,858,13,reg3_m858_s0,0,15,760,0.867631775315794,736.0,727.7,0.010660051485209217,0.0,48,75,19.206051999994088,0.6210970464135022,0.6140928270042194
reg3,858,13,reg3_m858_s0,0,20,1010,0.8780132862286223,742.0,736.3,0.013763341028474145,9.889109659193956e-20,48,74,25.86597630000324,0.6261603375527426,0.6213502109704641
reg3,858,13,reg3_m858_s0,0,25,1260,0.8816994792374254,746.0,741.6,0.011637162847240564,9.803347573284459e-19,48,75,32.341072399984114,0.6295358649789029,0.6258227848101267
reg3,858,13,reg3_m858_s0,0,30,1510,0.8937480046779497,755.0,746.4,0.01213280210133947,5.908584202690779e-19,48,75,38.47289420000743,0.6371308016877637,0.629873417721519
reg3,858,13,reg3_m858_s0,0,35,1760,0.8937480046779497,755.0,749.1,0.01213280210133947,5.908584202690779e-19,48,75,44.860300300002564,0.6371308016877637,0.6321518987341772
reg3,858,13,reg3_m858_s0,0,40,2010,0.8937480046779497,755.0,752.8,0.01213280210133947,5.908584202690779e-19,48,75,51.2576759000076,0.6371308016877637,0.6352742616033755
reg3,858,13,reg3_m858_s0,0,45,2260,0.8937480046779497,755.0,753.4,0.01213280210133947,5.908584202690779e-19,48,75,57.769183900003554,0.6371308016877637,0.6357805907172995
reg3,858,13,reg3_m858_s0,0,50,2510,0.898232901963069,758.0,755.2,0.01189404372141599,4.51997956478576e-19,48,75,64.14274979999755,0.639662447257384,0.6372995780590718
reg3,858,13,reg3_m858_s0,0,55,2760,0.8996748663173518,760.0,756.1,0.012225562374594573,0.0,48,75,70.49635619999026,0.6413502109704642,0.6380590717299578
reg3,858,13,reg3_m858_s0,0,60,3010,0.8996748663173518,760.0,756.4,0.012225562374594573,0.0,48,75,76.7432395000069,0.6413502109704642,0.6383122362869198
reg3,858,13,reg3_m858_s0,0,65,3260,0.8996748663173518,760.0,757.0,0.012225562374594573,0.0,48,75,83.17180829998688,0.6413502109704642,0.6388185654008439
reg3,858,13,reg3_m858_s0,0,70,3510,0.8996748663173518,760.0,757.9,0.012225562374594573,0.0,48,75,89.59350409999024,0.6413502109704642,0.6395780590717299
reg3,858,13,reg3_m858_s0,0,75,3760,0.9043382297682409,764.0,759.9,0.012225562374594566,1.7575933655526732e-19,48,76,95.74366770000779,0.6447257383966245,0.6412658227848101
reg3,858,13,reg3_m858_s0,0,80,4010,0.9043382297682409,764.0,760.9,0.012225562374594566,1.7575933655526732e-19,48,76,101.98306379999849,0.6447257383966245,0.6421097046413502
reg3,858,13,reg3_m858_s0,0,85,4260,0.9043382297682409,764.0,760.9,0.012225562374594566,1.7575933655526732e-19,48,76,108.28362699999707,0.6447257383966245,0.6421097046413502
reg3,858,13,reg3_m858_s0,0,90,4510,0.9052973581699192,766.0,763.0,0.014512975370669437,7.27601301691444e-19,48,75,114.66690779998316,0.6464135021097046,0.6438818565400843
reg3,858,13,reg3_m858_s0,0,95,4760,0.9052973581699192,766.0,765.2,0.014512975370669437,7.27601301691444e-19,48,75,121.07193070001085,0.6464135021097046,0.6457383966244726
reg3,858,13,reg3_m858_s0,0,100,5010,0.9052973581699192,766.0,765.5,0.014512975370669437,7.27601301691444e-19,48,75,127.538515799999,0.6464135021097046,0.6459915611814346
reg3,858,13,reg3_m858_s0,0,105,5260,0.9052973581699192,766.0,765.8,0.014512975370669437,7.27601301691444e-19,48,75,133.9631803999946,0.6464135021097046,0.6462447257383966
reg3,858,13,reg3_m858_s0,0,110,5510,0.9052973581699192,766.0,766.0,0.014512975370669437,7.27601301691444e-19,48,75,140.48405749999802,0.6464135021097046,0.6464135021097046
reg3,858,13,reg3_m858_s0,0,115,5760,0.9052973581699192,766.0,766.0,0.014512975370669437,7.27601301691444e-19,48,75,146.87194499999168,0.6464135021097046,0.6464135021097046
reg3,858,13,reg3_m858_s0,0,120,6010,0.9052973581699192,766.0,766.0,0.014512975370669437,7.27601301691444e-19,48,75,153.1411911000032,0.6464135021097046,0.6464135021097046
reg3,858,13,reg3_m858_s0,0,125,6260,0.9052973581699192,766.0,766.0,0.014512975370669437,7.27601301691444e-19,48,75,159.32715989998542,0.6464135021097046,0.6464135021097046
reg3,858,13,reg3_m858_s0,0,130,6510,0.9052973581699192,766.0,766.0,0.014512975370669437,7.27601301691444e-19,48,75,165.51893170000403,0.6464135021097046,0.6464135021097046
reg3,858,13,reg3_m858_s0,0,135,6760,0.9052973581699192,766.0,766.0,0.014512975370669437,7.27601301691444e-19,48,75,171.6193750000093,0.6464135021097046,0.6464135021097046
reg3,858,13,reg3_m858_s0,0,140,7010,0.9052973581699192,766.0,766.0,0.014512975370669437,7.27601301691444e-19,48,75,177.81820819998393,0.6464135021097046,0.6464135021097046
reg3,858,13,reg3_m858_s0,0,145,7260,0.9052973581699192,766.0,766.0,0.014512975370669437,7.27601301691444e-19,48,75,183.87436409998918,0.6464135021097046,0.6464135021097046
reg3,858,13,reg3_m858_s0,0,150,7510,0.9052973581699192,766.0,766.0,0.014512975370669437,7.27601301691444e-19,48,75,190.09694409999065,0.6464135021097046,0.6464135021097046
reg3,858,13,reg3_m858_s0,0,155,7760,0.9052973581699192,766.0,766.0,0.014512975370669437,7.27601301691444e-19,48,75,196.32255069998791,0.6464135021097046,0.6464135021097046
reg3,858,13,reg3_m858_s0,0,160,8010,0.9052973581699192,766.0,766.0,0.014512975370669437,7.27601301691444e-19,48,75,202.96831910000765,0.6464135021097046,0.6464135021097046
reg3,858,13,reg3_m858_s0,0,165,8260,0.9052973581699192,766.0,766.0,0.014512975370669437,7.27601301691444e-19,48,75,209.20881169999484,0.6464135021097046,0.6464135021097046
reg3,858,13,reg3_m858_s0,0,170,8510,0.9057076579357937,765.0,765.9,0.01392845668024744,1.1926223897340549e-18,48,75,215.50143679999746,0.6455696202531646,0.6463291139240506
reg3,858,13,reg3_m858_s0,0,175,8760,0.9057076579357937,765.0,765.9,0.01392845668024744,1.1926223897340549e-18,48,75,221.83898030000273,0.6455696202531646,0.6463291139240506
reg3,858,13,reg3_m858_s0,0,180,9010,0.9057076579357937,765.0,765.9,0.01392845668024744,1.1926223897340549e-18,48,75,228.18390229999204,0.6455696202531646,0.6463291139240506
reg3,858,13,reg3_m858_s0,0,185,9260,0.9057076579357937,765.0,765.9,0.01392845668024744,1.1926223897340549e-18,48,75,234.59083289999398,0.6455696202531646,0.6463291139240506
reg3,858,13,reg3_m858_s0,0,190,9510,0.9057076579357937,765.0,765.7,0.01392845668024744,1.1926223897340549e-18,48,75,240.9573218000005,0.6455696202531646,0.6461603375527426
reg3,858,13,reg3_m858_s0,0,195,9760,0.909439717964773,770.0,765.9,0.014406964173907525,0.0,48,75,247.04107390000718,0.6497890295358649,0.6463291139240506
