family,m,n,instance,run,generation,evaluations,best_score,best_cut,pop_mean_cut,median_abs_corr,min_abs_corr,two_qubit,non_clifford,seconds,ratio_best,ratio_pop_mean
reg3,60,6,reg3_m60_s0,0,0,10,0.8309630285234236,49.0,45.8,0.03422181726598081,1.0842021724855044e-18,20,32,0.039759600011166185,0.5903614457831325,0.5518072289156626
reg3,60,6,reg3_m60_s0,0,5,260,1.0726312396664537,60.0,58.9,0.0695242405627506,0.0005968111915276696,20,38,1.0005185000190977,0.7228915662650602,0.7096385542168675
reg3,60,6,reg3_m60_s0,0,10,510,1.1327204060333493,63.0,62.9,0.06165100349233671,0.0013125448532299074,20,38,1.9702437000232749,0.7590361445783133,0.7578313253012048
reg3,60,6,reg3_m60_s0,0,15,760,1.1353459234829315,65.0,64.5,0.0443256844965716,0.0018461642435758999,20,37,2.9368716000171844,0.7831325301204819,0.7771084337349398
reg3,60,6,reg3_m60_s0,0,20,1010,1.1796901382377605,67.0,65.2,0.037564450943634725,0.0013139571655955591,20,37,3.934026200004155,0.8072289156626506,0.7855421686746988
reg3,60,6,reg3_m60_s0,0,25,1260,1.1796901382377605,67.0,66.1,0.037564450943634725,0.0013139571655955591,20,37,4.973788800009061,0.8072289156626506,0.7963855421686746
reg3,60,6,reg3_m60_s0,0,30,1510,1.1796901382377605,67.0,66.6,0.037564450943634725,0.0013139571655955591,20,37,5.932929200003855,0.8072289156626506,0.8024096385542168
reg3,60,6,reg3_m60_s0,0,35,1760,1.207240520296466,68.0,67.7,0.04867651176367328,2.1935629722951572e-05,20,37,7.007251200004248,0.8192771084337349,0.8156626506024097
reg3,60,6,reg3_m60_s0,0,40,2010,1.2072405202964662,68.0,68.0,0.04867651176367326,2.1935629723135452e-05,20,37,8.048168400011491,0.8192771084337349,0.8192771084337349
reg3,60,6,reg3_m60_s0,0,45,2260,1.209111510203775,68.0,68.0,0.04787589533063326,2.193562972295851e-05,20,36,9.109885000012582,0.8192771084337349,0.8192771084337349
reg3,60,6,reg3_m60_s0,0,50,2510,1.223849643961208,69.0,68.2,0.051973073019986216,2.1935629723000144e-05,20,37,10.124095100007253,0.8313253012048193,0.8216867469879519
reg3,60,6,reg3_m60_s0,0,55,2760,1.223849643961208,69.0,68.5,0.051973073019986216,2.1935629723000144e-05,20,37,11.205324300011853,0.8313253012048193,0.8253012048192772
reg3,60,6,reg3_m60_s0,0,60,3010,1.2260595889244117,69.0,69.0,0.054818718469420796,0.00019463617103424036,20,36,12.370266900019487,0.8313253012048193,0.8313253012048193
reg3,60,6,reg3_m60_s0,0,65,3260,1.2260595889244117,69.0,69.0,0.054818718469420796,0.00019463617103424036,20,36,13.407374700007495,0.8313253012048193,0.8313253012048193
reg3,60,6,reg3_m60_s0,0,70,3510,1.2267257021554896,69.0,69.0,0.04944169107446255,0.0016887061560587075,20,37,14.400469900021562,0.8313253012048193,0.8313253012048193
reg3,60,6,reg3_m60_s0,0,75,3760,1.2444120374245584,70.0,69.2,0.05377509779686875,0.00019463617103419179,20,37,15.397674400010146,0.8433734939759037,0.8337349397590362
reg3,60,6,reg3_m60_s0,0,80,4010,1.2444120374245584,70.0,69.8,0.05377509779686884,0.0001946361710341571,20,37,16.431394200015347,0.8433734939759037,0.8409638554216867
reg3,60,6,reg3_m60_s0,0,85,4260,1.2502067279524722,70.0,70.0,0.051773219073586965,0.00098022876181208,20,37,17.506588000018382,0.8433734939759037,0.8433734939759037
