target,family,method,run,evaluations,ratio
reg3_m60_s6,reg3,cold,0,10,0.5061728395061729
reg3_m60_s6,reg3,cold,0,60,0.654320987654321
reg3_m60_s6,reg3,cold,0,110,0.6666666666666666
reg3_m60_s6,reg3,cold,0,160,0.6666666666666666
reg3_m60_s6,reg3,cold,0,210,0.7037037037037037
reg3_m60_s6,reg3,cold,0,260,0.7037037037037037
reg3_m60_s6,reg3,cold,0,310,0.7283950617283951
reg3_m60_s6,reg3,cold,0,360,0.7407407407407407
reg3_m60_s6,reg3,cold,0,410,0.7407407407407407
reg3_m60_s6,reg3,cold,0,460,0.7530864197530864
reg3_m60_s6,reg3,cold,0,510,0.7777777777777778
reg3_m60_s6,reg3,cold,0,560,0.7777777777777778
reg3_m60_s6,reg3,cold,0,610,0.7777777777777778
reg3_m60_s6,reg3,cold,0,660,0.7777777777777778
reg3_m60_s6,reg3,cold,0,710,0.7777777777777778
reg3_m60_s6,reg3,cold,0,760,0.7654320987654321
reg3_m60_s6,reg3,cold,0,810,0.7654320987654321
reg3_m60_s6,reg3,cold,0,860,0.7654320987654321
reg3_m60_s6,reg3,cold,0,910,0.7654320987654321
reg3_m60_s6,reg3,cold,0,960,0.7654320987654321
reg3_m60_s6,reg3,cold,0,1010,0.7901234567901234
reg3_m60_s6,reg3,cold,0,1060,0.7901234567901234
reg3_m60_s6,reg3,cold,0,1110,0.7901234567901234
reg3_m60_s6,reg3,cold,0,1160,0.7901234567901234
reg3_m60_s6,reg3,cold,0,1210,0.8765432098765432
reg3_m60_s6,reg3,cold,0,1260,0.8765432098765432
reg3_m60_s6,reg3,cold,0,1310,0.8765432098765432
reg3_m60_s6,reg3,cold,0,1360,0.8765432098765432
reg3_m60_s6,reg3,cold,0,1410,0.8765432098765432
reg3_m60_s6,reg3,cold,0,1460,0.8765432098765432
reg3_m60_s6,reg3,cold,0,1510,0.8765432098765432
reg3_m60_s6,reg3,cold,0,1560,0.8765432098765432
reg3_m60_s6,reg3,cold,0,1610,0.8765432098765432
reg3_m60_s6,reg3,cold,0,1660,0.8765432098765432
reg3_m60_s6,reg3,cold,0,1710,0.8765432098765432
reg3_m60_s6,reg3,cold,0,1760,0.8765432098765432
reg3_m60_s6,reg3,cold,0,1810,0.8765432098765432
reg3_m60_s6,reg3,cold,0,1860,0.8765432098765432
reg3_m60_s6,reg3,cold,0,1910,0.8765432098765432
reg3_m60_s6,reg3,cold,0,1960,0.8765432098765432
reg3_m60_s6,reg3,cold,0,2010,0.8765432098765432
reg3_m60_s6,reg3,cold,0,2060,0.8765432098765432
reg3_m60_s6,reg3,cold,0,2110,0.8765432098765432
reg3_m60_s6,reg3,cold,0,2160,0.8888888888888888
reg3_m60_s6,reg3,cold,0,2210,0.8888888888888888
reg3_m60_s6,reg3,cold,0,2260,0.8888888888888888
reg3_m60_s6,reg3,cold,0,2310,0.8888888888888888
reg3_m60_s6,reg3,cold,0,2360,0.8888888888888888
reg3_m60_s6,reg3,cold,0,2410,0.8888888888888888
reg3_m60_s6,reg3,cold,0,2460,0.8888888888888888
reg3_m60_s6,reg3,cold,0,2510,0.8888888888888888
reg3_m60_s6,reg3,cold,0,2560,0.8888888888888888
reg3_m60_s6,reg3,cold,0,2610,0.9012345679012346
reg3_m60_s6,reg3,cold,0,2660,0.9012345679012346
reg3_m60_s6,reg3,cold,0,2710,0.9012345679012346
reg3_m60_s6,reg3,cold,0,2760,0.9012345679012346
reg3_m60_s6,reg3,cold,0,2810,0.9012345679012346
reg3_m60_s6,reg3,cold,0,2860,0.9012345679012346
reg3_m60_s6,reg3,cold,0,2910,0.9012345679012346
reg3_m60_s6,reg3,cold,0,2960,0.9012345679012346
reg3_m60_s6,reg3,cold,0,3010,0.9012345679012346
reg3_m60_s6,reg3,cold,0,3060,0.9012345679012346
reg3_m60_s6,reg3,cold,0,3110,0.9012345679012346
reg3_m60_s6,reg3,cold,0,3160,0.9012345679012346
reg3_m60_s6,reg3,cold,0,3210,0.9012345679012346
reg3_m60_s6,reg3,cold,0,3260,0.9012345679012346
reg3_m60_s6,reg3,cold,0,3310,0.9012345679012346
reg3_m60_s6,reg3,cold,0,3360,0.9012345679012346
reg3_m60_s6,reg3,cold,0,3410,0.9012345679012346
reg3_m60_s6,reg3,cold,0,3460,0.9012345679012346
reg3_m60_s6,reg3,cold,0,3510,0.9012345679012346
reg3_m60_s6,reg3,cold,0,3560,0.9012345679012346
reg3_m60_s6,reg3,cold,0,3610,0.9012345679012346
reg3_m60_s6,reg3,cold,0,3660,0.9135802469135802
reg3_m60_s6,reg3,cold,0,3710,0.9135802469135802
reg3_m60_s6,reg3,cold,0,3760,0.9135802469135802
reg3_m60_s6,reg3,cold,0,3810,0.9135802469135802
reg3_m60_s6,reg3,cold,0,3860,0.9135802469135802
reg3_m60_s6,reg3,cold,0,3910,0.9135802469135802
reg3_m60_s6,reg3,cold,0,3960,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4010,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4060,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4110,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4160,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4210,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4260,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4310,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4360,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4410,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4460,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4510,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4560,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4610,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4660,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4710,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4760,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4810,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4860,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4910,0.9135802469135802
reg3_m60_s6,reg3,cold,0,4960,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5010,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5060,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5110,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5160,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5210,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5260,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5310,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5360,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5410,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5460,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5510,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5560,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5610,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5660,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5710,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5760,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5810,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5860,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5910,0.9135802469135802
reg3_m60_s6,reg3,cold,0,5960,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6010,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6060,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6110,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6160,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6210,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6260,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6310,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6360,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6410,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6460,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6510,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6560,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6610,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6660,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6710,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6760,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6810,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6860,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6910,0.9135802469135802
reg3_m60_s6,reg3,cold,0,6960,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7010,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7060,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7110,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7160,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7210,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7260,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7310,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7360,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7410,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7460,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7510,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7560,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7610,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7660,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7710,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7760,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7810,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7860,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7910,0.9135802469135802
reg3_m60_s6,reg3,cold,0,7960,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8010,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8060,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8110,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8160,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8210,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8260,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8310,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8360,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8410,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8460,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8510,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8560,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8610,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8660,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8710,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8760,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8810,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8860,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8910,0.9135802469135802
reg3_m60_s6,reg3,cold,0,8960,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9010,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9060,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9110,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9160,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9210,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9260,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9310,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9360,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9410,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9460,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9510,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9560,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9610,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9660,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9710,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9760,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9810,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9860,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9910,0.9135802469135802
reg3_m60_s6,reg3,cold,0,9960,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10010,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10060,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10110,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10160,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10210,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10260,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10310,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10360,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10410,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10460,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10510,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10560,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10610,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10660,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10710,0.9135802469135802
reg3_m60_s6,reg3,cold,0,10760,0.9135802469135802
