instance,ratio_best,median_abs_corr,hit_0.8,hit_0.85,hit_0.9
reg3_m60_s0,0.8674698795180723,0.051457334562920995,1010,7660.0,
reg3_m60_s1,0.8888888888888888,0.08644403152960753,310,2560.0,
reg3_m60_s2,0.8765432098765432,0.05957924221616838,410,2210.0,
reg3_m60_s3,0.9024390243902439,0.11895898731070868,510,1210.0,2060.0
reg3_m60_s4,0.8414634146341463,0.05825196888409265,2260,,
reg3_m60_s5,0.8641975308641975,0.07485862458695289,560,5010.0,
er4_m60_s0,0.8686868686868687,0.07016777708601854,210,1260.0,
er4_m60_s1,0.93,0.12283068599831728,310,610.0,1210.0
er4_m60_s2,0.8627450980392157,0.09358698683397922,160,5260.0,
er4_m60_s3,0.8811881188118812,0.050204245706939724,360,1360.0,
er4_m60_s4,0.9223300970873787,0.08092108197665557,1510,2560.0,4160.0
er4_m60_s5,0.8910891089108911,0.1471114475624593,360,710.0,
