family,m,n,instance,method,run,best_known,ratio_raw,ratio_ls,ratio_1000shots,ratio_4000shots,median_abs_corr,evals_to_0.75,evals_to_0.8,evals_to_0.85,evals_to_0.9,seconds
reg3,60,6,reg3_m60_s0,es,0,83.0,0.8674698795180723,0.9397590361445783,0.7060240963855422,0.7620481927710844,0.05145733456292095,510,1010,7760,,79.75787989998935
reg3,60,6,reg3_m60_s0,es,1,83.0,0.8795180722891566,0.9156626506024096,0.8409638554216867,0.8590361445783132,0.1395638002972584,760,1010,3760,,78.52565600001253
reg3,60,6,reg3_m60_s0,es+pbil,0,83.0,0.8795180722891566,0.927710843373494,0.7867469879518072,0.8457831325301205,0.09807596740368112,1010,3760,9510,,86.37461520000943,1.3662104747783996
reg3,60,6,reg3_m60_s0,es+pbil,1,83.0,0.7831325301204819,0.891566265060241,0.7343373493975904,0.75,0.15043298292884658,3260,,,,84.04840690002311,1.4041645137408028
reg3,60,6,reg3_m60_s0,es+gpt,0,83.0,0.891566265060241,0.9397590361445783,0.6951807228915663,0.7403614457831326,0.03981605054393057,1010,1760,3510,,752.9081274999771,0.12834468483924866
reg3,60,6,reg3_m60_s0,es+gpt,1,83.0,0.8554216867469879,0.9518072289156626,0.708433734939759,0.7608433734939759,0.04069976237232521,1010,1260,17260,,725.7587014000164,0.14978331327438354
reg3,252,9,reg3_m252_s0,es,0,348.0,0.7241379310344828,0.8850574712643678,0.618103448275862,0.6422413793103449,0.03385477074713214,,,,,134.44574399999692
reg3,252,9,reg3_m252_s0,es,1,348.0,0.7270114942528736,0.882183908045977,0.6310344827586206,0.6656609195402299,0.044821347120877805,,,,,133.52248759998474
reg3,252,9,reg3_m252_s0,es+pbil,0,348.0,0.7241379310344828,0.8936781609195402,0.5755747126436782,0.6231321839080459,0.022566732296573917,,,,,133.6720638999832,1.3465030004792586
reg3,252,9,reg3_m252_s0,es+pbil,1,348.0,0.7212643678160919,0.8936781609195402,0.6316091954022989,0.6558908045977011,0.04958375580014916,,,,,132.17702189998818,1.357426493150202
reg3,252,9,reg3_m252_s0,es+gpt,0,348.0,0.7068965517241379,0.8764367816091954,0.584051724137931,0.6030172413793103,0.018967788306886675,,,,,1225.3553374999901,0.08542636781930923
reg3,252,9,reg3_m252_s0,es+gpt,1,348.0,0.7557471264367817,0.9022988505747126,0.6587643678160919,0.6869252873563219,0.0742768348520883,10760,,,,1215.0111617000075,0.09230995923280716
er4,60,6,er4_m60_s0,es,0,99.0,0.8686868686868687,0.9292929292929293,0.7484848484848484,0.7853535353535354,0.07016777708601857,260,760,1260,,75.07751339999959
er4,60,6,er4_m60_s0,es,1,99.0,0.898989898989899,0.9393939393939394,0.859090909090909,0.8712121212121212,0.17778736371174703,260,510,1760,,76.64778739999747
er4,60,6,er4_m60_s0,es+pbil,0,99.0,0.9292929292929293,0.9494949494949495,0.8974747474747474,0.9186868686868687,0.0965859782818062,260,510,510,2260,77.58484349999344,1.358821212429407
er4,60,6,er4_m60_s0,es+pbil,1,99.0,0.9191919191919192,0.9696969696969697,0.7984848484848485,0.8500000000000001,0.08335406853536087,260,260,1760,8260,76.0859630999912,1.3915809220742752
er4,60,6,er4_m60_s0,es+gpt,0,99.0,0.8888888888888888,0.9292929292929293,0.8161616161616161,0.8444444444444444,0.11110289661363601,510,1510,2510,,745.0582924999762,0.16568401455879211
er4,60,6,er4_m60_s0,es+gpt,1,99.0,0.8888888888888888,0.9393939393939394,0.8196969696969697,0.8626262626262626,0.14359869407829753,260,1010,6760,,721.1470123999752,0.14040090143680573
er4,252,9,er4_m252_s0,es,0,428.0,0.7593457943925234,0.9065420560747663,0.6475467289719625,0.6705607476635514,0.02036281967295143,6010,,,,126.43338230001973
er4,252,9,er4_m252_s0,es,1,428.0,0.7757009345794392,0.8785046728971962,0.6657710280373832,0.6954439252336448,0.03597179204588571,3260,,,,116.39793810000992
er4,252,9,er4_m252_s0,es+pbil,0,428.0,0.7616822429906542,0.883177570093458,0.7210280373831777,0.7350467289719627,0.129923475756892,5010,,,,107.67638210000587,1.3596515191500427
er4,252,9,er4_m252_s0,es+pbil,1,428.0,0.7663551401869159,0.8808411214953271,0.6771028037383178,0.7081775700934579,0.05142508834510774,3260,,,,106.9318745000055,1.3356841816393066
er4,252,9,er4_m252_s0,es+gpt,0,428.0,0.7523364485981309,0.8948598130841121,0.6755841121495326,0.7098130841121496,0.04917618183040723,9010,,,,1154.8510667000082,0.09808904677629471
er4,252,9,er4_m252_s0,es+gpt,1,428.0,0.75,0.8901869158878505,0.680140186915888,0.7051401869158879,0.04529601893041342,16260,,,,1378.9608876000275,0.09673970937728882
