model,split,class,n_parents,spearman,rank_of_pred_best,K,regret,oracle_gain,pred_best_gain,hit@1,mean_true_top1,improving_top1,hit@5,mean_true_top5,improving_top5,hit@10,mean_true_top10,improving_top10,hit@50,mean_true_top50,improving_top50,improving_random,mean_true_random
random,held-out parents (source),elite,7,0.002524678545950674,450.0,1152.0,0.2675448858312198,0.01068715502125477,-0.25685773470572065,0.0,-0.25685773470572065,0.0,0.0,-0.2369698669229235,0.0,0.0,-0.265802087528365,0.0,0.0,-0.29081120661326815,0.002857142857142857,0.00285218253968254,-0.30380045090402874
random,held-out parents (source),mid,17,0.004505739380746752,507.47058823529414,1152.0,0.3078402868088554,0.2732855572420008,-0.03455473000512404,0.0,-0.03455473000512404,0.4117647058823529,0.0,-0.04303662886719822,0.35294117647058826,0.0,-0.04136657555971075,0.3647058823529412,0.058823529411764705,-0.04435757925624356,0.3223529411764706,0.30315563725490197,-0.05044197061044328
random,held-out parents (source),random,8,-0.007146747743391328,690.75,1152.0,0.2740632612258196,0.2723873481154442,-0.0016759100835770369,0.0,-0.0016759100835770369,0.375,0.0,0.018633930245414376,0.6,0.0,0.020164435991318896,0.575,0.0,0.01565365237183869,0.5675,0.5631510416666667,0.016028142534196377
random,held-out parents (source),all,32,0.008867358564399266,538.6875,1152.0,0.29357846244238317,0.21561760447457345,-0.0779608583834488,0.0,-0.0779608583834488,0.375,0.0,-0.07085822442240897,0.30625,0.0,-0.0818683837496792,0.30000000000000004,0.09375,-0.08630456749779114,0.308125,0.3024631076388889,-0.08924660988850519
random,unseen instance (target),elite,60,0.0034890575203872453,523.0833333333334,1152.0,0.2634638530823092,0.007762765670971324,-0.25570108991038676,0.0,-0.25570108991038676,0.0,0.0,-0.280143861224254,0.0033333333333333335,0.0,-0.27253477573394774,0.0033333333333333335,0.05,-0.28171658217906953,0.005000000000000001,0.006380208333333332,-0.2804687331120173
random,unseen instance (target),mid,60,0.0018952767043018987,580.4166666666666,1152.0,0.36563725881278514,0.2858168757210175,-0.07982038297923282,0.0,-0.07982038297923282,0.2,0.0,-0.08521462316275574,0.19333333333333333,0.0,-0.08610530090906347,0.19666666666666668,0.05,-0.07962038281063238,0.206,0.20737847222222222,-0.08104096787671249
random,unseen instance (target),random,40,-0.0033156168142845096,572.65,1152.0,0.26325197480618956,0.2487242255359888,-0.014527746988460422,0.0,-0.014527746988460422,0.4,0.0,-0.009971811610739678,0.44000000000000006,0.0,-0.016485822555841877,0.42750000000000005,0.025,-0.011539386748336256,0.44749999999999995,0.4541666666666667,-0.010884881305537419
random,unseen instance (target),all,160,0.000383428347864455,577.08125,1152.0,0.31393995967227967,0.172273421905993,-0.1416665374720651,0.0,-0.1416665374720651,0.1875,0.0,-0.14129672500130255,0.18625000000000003,0.0,-0.13740584547281287,0.195,0.05,-0.1396030266838352,0.195,0.193701171875,-0.13828735819715804
"MLP one-hot, MSE",held-out parents (source),elite,7,0.9446684021200181,60.0,1152.0,0.06641137280634471,0.01068715502125477,-0.055724217157278745,0.0,-0.055724217157278745,0.0,0.0,-0.061284516538892476,0.05714285714285715,0.0,-0.06796547291534287,0.042857142857142864,0.42857142857142855,-0.07305347493716649,0.03428571428571429,0.00285218253968254,-0.30380045090402874
"MLP one-hot, MSE",held-out parents (source),mid,17,0.462818321431513,319.05882352941177,1152.0,0.21512575447559357,0.2732855572420008,0.05815980181796476,0.17647058823529413,0.05815980181796476,0.5294117647058824,0.17647058823529413,0.013821322511991157,0.388235294117647,0.17647058823529413,0.013330091403879444,0.43529411764705883,0.23529411764705882,0.007036554154611248,0.45647058823529413,0.30315563725490197,-0.05044197061044328
"MLP one-hot, MSE",held-out parents (source),random,8,0.01908655353131453,487.125,1152.0,0.23370167799293995,0.2723873481154442,0.03868567245081067,0.0,0.03868567245081067,0.625,0.0,0.026450747856870294,0.525,0.0,0.027834146429086104,0.6125,0.25,0.01837069686735049,0.5625,0.5631510416666667,0.016028142534196377
"MLP one-hot, MSE",held-out parents (source),all,32,0.4572900785327976,304.40625,1152.0,0.18723846436478198,0.21561760447457345,0.028379140325341723,0.09375,0.028379140325341723,0.4375,0.09375,0.0005492765558301471,0.35,0.09375,-0.0008272995346487733,0.39375,0.28125,-0.0076496040310303215,0.390625,0.3024631076388889,-0.08924660988850519
"MLP one-hot, MSE",unseen instance (target),elite,60,-0.1249540258227086,476.35,1152.0,0.2156983172520995,0.007762765670971324,-0.20793555074681838,0.0,-0.20793555074681838,0.0,0.0,-0.42997929751873015,0.0,0.0,-0.4426732356349627,0.0016666666666666668,0.0,-0.35788378020127615,0.0026666666666666666,0.006380208333333332,-0.2804687331120173
"MLP one-hot, MSE",unseen instance (target),mid,60,-0.07317267429389397,582.1666666666666,1152.0,0.36674988170464834,0.2858168757210175,-0.08093300559946025,0.0,-0.08093300559946025,0.08333333333333333,0.0,-0.10469168589139978,0.13000000000000003,0.0,-0.11599523162391658,0.13333333333333333,0.016666666666666666,-0.11029941868036985,0.14333333333333337,0.20737847222222222,-0.08104096787671249
"MLP one-hot, MSE",unseen instance (target),random,40,0.0012557895714724828,607.45,1152.0,0.2694948077201843,0.2487242255359888,-0.020770581881515683,0.0,-0.020770581881515683,0.45,0.025,-0.01784210890655231,0.43499999999999994,0.05,-0.012726770274457521,0.4625,0.05,-0.009315409522969276,0.47350000000000003,0.4541666666666667,-0.010884881305537419
"MLP one-hot, MSE",unseen instance (target),all,160,-0.07398356515085783,548.80625,1152.0,0.28579177653882654,0.172273421905993,-0.1135183541002334,0.0,-0.1135183541002334,0.14375,0.00625,-0.2049621460054368,0.15750000000000003,0.0125,-0.2126823677906941,0.16625,0.01875,-0.17789755196135956,0.17312500000000003,0.193701171875,-0.13828735819715804
"Transformer, MSE",held-out parents (source),elite,7,0.9529926066070431,10.571428571428571,1152.0,0.013998919869274167,0.01068715502125477,-0.0033117648537362193,0.0,-0.0033117648537362193,0.0,0.14285714285714285,-0.019256908971978452,0.08571428571428573,0.5714285714285714,-0.02833980175533465,0.05714285714285715,1.0,-0.046197974788291116,0.025714285714285714,0.00285218253968254,-0.30380045090402874
"Transformer, MSE",held-out parents (source),mid,17,0.4242133765891917,415.0,1152.0,0.2864564622149748,0.2732855572420008,-0.013170908172683345,0.0,-0.013170908172683345,0.4117647058823529,0.0,-3.0647826326244016e-05,0.47058823529411764,0.0,0.004115757436546332,0.45294117647058824,0.0,0.004466213970719015,0.448235294117647,0.30315563725490197,-0.05044197061044328
"Transformer, MSE",held-out parents (source),random,8,-0.0033124635230180888,657.125,1152.0,0.26641979068517685,0.2723873481154442,0.005967561388388276,0.0,0.005967561388388276,0.375,0.0,0.0010915560415014625,0.42500000000000004,0.0,0.0038197297835722566,0.42500000000000004,0.0,0.015116590657271445,0.52,0.5631510416666667,0.016028142534196377
"Transformer, MSE",held-out parents (source),all,32,0.4330023731275443,387.0625,1152.0,0.2218472069444033,0.21561760447457345,-0.006229603181395756,0.0,-0.006229603181395756,0.3125,0.03125,-0.003955841484980738,0.375,0.125,-0.0030579030499211513,0.359375,0.21875,-0.003953983148676343,0.37375,0.3024631076388889,-0.08924660988850519
"Transformer, MSE",unseen instance (target),elite,60,0.12651633762032097,391.03333333333336,1152.0,0.17843083329498768,0.007762765670971324,-0.17066806718551863,0.0,-0.17066806718551863,0.0,0.0,-0.1966478269547224,0.006666666666666667,0.016666666666666666,-0.21355730245510737,0.008333333333333333,0.05,-0.22689385662476222,0.017666666666666667,0.006380208333333332,-0.2804687331120173
"Transformer, MSE",unseen instance (target),mid,60,0.07331083778613016,483.65,1152.0,0.33909594764312107,0.2858168757210175,-0.053279072447912766,0.0,-0.053279072447912766,0.23333333333333334,0.0,-0.056895626103505494,0.24333333333333332,0.0,-0.058031966167861056,0.24666666666666665,0.03333333333333333,-0.06451762235568216,0.233,0.20737847222222222,-0.08104096787671249
