family,m,instance,method,run,generation,evaluations,best_score,best_cut,pop_mean_cut,median_abs_corr,min_abs_corr,two_qubit,non_clifford,scorer_loss,seconds,ratio_best,ratio_pop_mean
reg3,60,reg3_m60_s0,es,0,0,10,0.8309630285234236,49.0,45.8,0.03422181726598081,1.0842021724855044e-18,20,32,,0.03548630001023412,0.5903614457831325,0.5518072289156626
reg3,60,reg3_m60_s0,es,0,5,260,1.026370361091108,60.0,57.8,0.033028544684906,0.0017921165202516203,20,40,,0.7556653000065126,0.7228915662650602,0.6963855421686747
reg3,60,reg3_m60_s0,es,0,10,510,1.1167670108087875,65.0,62.6,0.04793150120056559,0.00011888313586847811,20,35,,1.5199889999930747,0.7831325301204819,0.7542168674698795
reg3,60,reg3_m60_s0,es,0,15,760,1.1635421578853316,67.0,63.9,0.05976672547790514,0.0007156133338559155,20,37,,2.259289200010244,0.8072289156626506,0.7698795180722892
reg3,60,reg3_m60_s0,es,0,20,1010,1.1669565457970497,67.0,64.2,0.05139112467370166,0.0006647969903537301,20,37,,2.9852930000051856,0.8072289156626506,0.7734939759036145
reg3,60,reg3_m60_s0,es,0,25,1260,1.1742114487538298,65.0,66.3,0.1051408716785766,0.001602118122633011,20,31,,3.841411800007336,0.7831325301204819,0.7987951807228916
reg3,60,reg3_m60_s0,es,0,30,1510,1.181937844504649,66.0,65.7,0.08915320810769894,0.0013431386971796688,20,32,,4.705378599988762,0.7951807228915663,0.791566265060241
reg3,60,reg3_m60_s0,es,0,35,1760,1.209422577811505,67.0,66.8,0.09529533195886378,0.0011129088981652047,20,34,,5.559135499992408,0.8072289156626506,0.8048192771084337
reg3,60,reg3_m60_s0,es,0,40,2010,1.2195187116078423,68.0,67.1,0.09567318940504164,0.0003809181315917662,20,35,,6.408050500031095,0.8192771084337349,0.808433734939759
reg3,60,reg3_m60_s0,es,0,45,2260,1.2204812983389426,68.0,68.0,0.09522811880680301,0.0010896930241718616,20,34,,7.158889600017574,0.8192771084337349,0.8192771084337349
reg3,60,reg3_m60_s0,es,0,50,2510,1.2348839285201791,69.0,68.4,0.08739702339260913,0.0003811718652522748,20,33,,7.909727699996438,0.8313253012048193,0.8240963855421688
reg3,60,reg3_m60_s0,es,0,55,2760,1.2348839285201791,69.0,68.8,0.08739702339260913,0.0003811718652522748,20,33,,8.672887900029309,0.8313253012048193,0.8289156626506023
reg3,60,reg3_m60_s0,es,0,60,3010,1.2348839285201791,69.0,69.0,0.08739702339260913,0.0003811718652522748,20,33,,9.528910499997437,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,65,3260,1.2355882679500851,69.0,69.0,0.09583082863872897,0.001065161067027337,20,33,,10.289156300015748,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,70,3510,1.237438111336251,69.0,69.0,0.09476969145349795,0.0012817576014821012,20,33,,11.123398300027475,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,75,3760,1.2399366594724475,69.0,69.0,0.09987434867170206,0.002087585729631662,20,34,,11.928632099996321,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,80,4010,1.2399366594724477,69.0,69.0,0.09987434867170202,0.0020875857296316796,20,34,,12.683764200017322,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,85,4260,1.2425896069292777,69.0,69.0,0.10461854584454078,0.0016375175061768207,20,33,,13.406390200019814,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,90,4510,1.242640914451751,69.0,69.0,0.10435705909690628,0.0011544691386463843,20,35,,14.19587529997807,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,95,4760,1.242640914451751,69.0,69.0,0.10435705909690629,0.0011544691386463843,20,35,,14.931848099979106,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,100,5010,1.2439668074066366,69.0,69.0,0.10141795324178735,0.00015992583824141898,20,34,,15.675716899975669,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,105,5260,1.244324350619645,69.0,69.0,0.0931338422256377,0.00010444326898650285,20,36,,16.427297100017313,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,110,5510,1.244324350619645,69.0,69.0,0.09313384222563753,0.00010444326898635952,20,35,,17.171788999985438,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,115,5760,1.245147347677183,69.0,69.0,0.11141482558731933,0.00010444326898639443,20,34,,17.932367300032638,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,120,6010,1.245147347677183,69.0,69.0,0.11141482558731933,0.00010444326898639443,20,34,,18.73380879999604,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,125,6260,1.2518120083290707,69.0,69.0,0.1107246459641855,0.0007370627328717209,20,33,,19.470120800018776,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,130,6510,1.2518120083290707,69.0,69.0,0.11072464596418555,0.0007370627328716769,20,35,,20.38790329999756,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,135,6760,1.2518120083290707,69.0,69.0,0.1107246459641855,0.0007370627328717209,20,33,,21.137970399984624,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,140,7010,1.251812008329071,69.0,69.0,0.11072464596418558,0.0007370627328716853,20,35,,21.85786599997664,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,145,7260,1.2520448073587993,69.0,69.0,0.10783419310535078,0.0016903801203743962,20,35,,22.608700799988583,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,150,7510,1.2539965695948208,69.0,69.0,0.11207897422481783,0.0018269162906449643,20,35,,23.32685270003276,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,155,7760,1.2539965695948208,69.0,69.0,0.11207897422481783,0.0018269162906449643,20,35,,24.104648099979386,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,160,8010,1.253996569594821,69.0,69.0,0.11207897422481794,0.0018269162906450337,20,35,,24.837791999976616,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,165,8260,1.253996569594821,69.0,69.0,0.11207897422481794,0.0018269162906450614,20,34,,25.581109100021422,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,170,8510,1.253996569594821,69.0,69.0,0.11207897422481794,0.0018269162906450337,20,35,,26.31631630001357,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,175,8760,1.2547049628488007,69.0,69.0,0.10774068180517384,0.00022414620201907653,20,35,,27.042120199999772,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,180,9010,1.2547049628488007,69.0,69.0,0.10774068180517384,0.00022414620201907653,20,35,,27.81112490000669,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,185,9260,1.2547049628488007,69.0,69.0,0.10774068180517384,0.00022414620201907653,20,35,,28.726399399980437,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,190,9510,1.2547049628488007,69.0,69.0,0.10774068180517384,0.00022414620201907653,20,35,,29.487549300014507,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,195,9760,1.254704962848801,69.0,69.0,0.10774068180517377,0.00022414620201913205,20,34,,30.24319020000985,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,200,10010,1.254704962848801,69.0,69.0,0.10774068180517377,0.00022414620201913205,20,34,,30.96675680001499,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,205,10260,1.254704962848801,69.0,69.0,0.10774068180517377,0.00022414620201913205,20,34,,31.728667500021402,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,210,10510,1.254704962848801,69.0,69.0,0.1077406818051738,0.00022414620201906266,20,35,,32.45987259998219,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,215,10760,1.254704962848801,69.0,69.0,0.1077406818051738,0.00022414620201906266,20,35,,33.20517450000625,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,220,11010,1.254704962848801,69.0,69.0,0.10774068180517377,0.00022414620201913205,20,34,,33.9958904000232,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,225,11260,1.254704962848801,69.0,69.0,0.10774068180517388,0.00022414620201911817,20,35,,34.76354110002285,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,230,11510,1.254704962848801,69.0,69.0,0.1077406818051738,0.0002241462020190349,20,34,,35.51813199999742,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,235,11760,1.254704962848801,69.0,69.0,0.10774068180517385,0.00022414620201904878,20,33,,36.27790729998378,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,240,12010,1.254704962848801,69.0,69.0,0.10774068180517384,0.00022414620201917368,20,35,,37.009715699998196,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,245,12260,1.254704962848801,69.0,69.0,0.10774068180517374,0.0002241462020191598,20,35,,37.80957739998121,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,250,12510,1.254704962848801,69.0,69.0,0.10774068180517388,0.00022414620201911817,20,35,,38.54592609999236,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,255,12760,1.254704962848801,69.0,69.0,0.10774068180517384,0.00022414620201917368,20,35,,39.2991121999803,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,260,13010,1.254704962848801,69.0,69.0,0.1077406818051738,0.0002241462020191043,20,33,,40.020682999980636,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,265,13260,1.254704962848801,69.0,69.0,0.10774068180517385,0.00022414620201904878,20,33,,40.75691779999761,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,270,13510,1.2564561656323483,69.0,69.0,0.11128395731697718,0.0002241462020191043,20,34,,41.50089189998107,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,275,13760,1.2564561656323483,69.0,69.0,0.11128395731697718,0.0002241462020191043,20,34,,42.26412710000295,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,280,14010,1.2564561656323483,69.0,69.0,0.11128395731697718,0.0002241462020191043,20,34,,43.02309550001519,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,285,14260,1.2564561656323483,69.0,69.0,0.1112839573169773,0.00022414620201900715,20,35,,43.76179439999396,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,290,14510,1.2564561656323483,69.0,69.0,0.11128395731697734,0.00022414620201906266,20,35,,44.520506599976216,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,295,14760,1.2579483922243317,69.0,69.0,0.12095881101519163,0.0010238617605922568,20,35,,45.270935699983966,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,300,15010,1.2579483922243317,69.0,69.0,0.1209588110151916,0.0010238617605922568,20,35,,46.06334579997929,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,305,15260,1.2579483922243317,69.0,69.0,0.12095881101519165,0.001023861760592118,20,36,,46.823064399999566,0.8313253012048193,0.8313253012048193
