family,m,n,instance,method,run,best_known,ratio_raw,ratio_ls,ratio_1000shots,median_abs_corr,evals_to_0.75,evals_to_0.8,evals_to_0.85,evals_to_0.9,seconds
reg3,60,6,reg3_m60_s0,es,0,83.0,0.8313253012048193,0.9156626506024096,0.7198795180722891,0.12095881101519163,510,760,,,61.35386660002405
reg3,60,6,reg3_m60_s0,es,1,83.0,0.8192771084337349,0.891566265060241,0.755421686746988,0.1119532678425593,510,2510,,,60.56111010001041
reg3,60,6,reg3_m60_s0,es,2,83.0,0.8433734939759037,0.9156626506024096,0.7060240963855422,0.08337104124820355,510,760,,,61.533545800019056
reg3,60,6,reg3_m60_s0,es+learned,0,83.0,0.9036144578313253,0.963855421686747,0.7927710843373493,0.10444045950570259,260,760,8010,13010,1125.104997700022
reg3,60,6,reg3_m60_s0,es+learned,1,83.0,0.8674698795180723,0.9156626506024096,0.7807228915662651,0.08926967504988731,760,1010,19510,,425.9963894999819
reg3,60,6,reg3_m60_s0,es+learned,2,83.0,0.9036144578313253,0.927710843373494,0.8078313253012048,0.11556635667753067,510,1260,5760,7010,426.5975960000069
reg3,60,6,reg3_m60_s0,es+pretrained,0,83.0,0.891566265060241,0.9518072289156626,0.7439759036144579,0.0867078163614465,1010,3260,11760,,424.7052352000028
reg3,60,6,reg3_m60_s0,es+pretrained,1,83.0,0.8554216867469879,0.9036144578313253,0.755421686746988,0.08615884786783941,260,1260,11260,,430.0685006999993
reg3,60,6,reg3_m60_s0,es+pretrained,2,83.0,0.8674698795180723,0.9156626506024096,0.7789156626506025,0.104363077894057,510,760,4760,,416.3642399000237
reg3,60,6,reg3_m60_s0,es+transfer,0,83.0,0.927710843373494,0.9759036144578314,0.8060240963855423,0.09144147394045993,760,760,2260,3010,425.8687289999798
reg3,60,6,reg3_m60_s0,es+transfer,1,83.0,0.891566265060241,0.9156626506024096,0.7819277108433735,0.08424249774136292,260,1510,3010,,424.3886406000238
reg3,60,6,reg3_m60_s0,es+transfer,2,83.0,0.8554216867469879,0.9156626506024096,0.7921686746987951,0.10668785722836313,510,760,4260,,420.06040159997065
reg3,60,6,reg3_m60_s1,es,0,81.0,0.9012345679012346,0.9382716049382716,0.7716049382716049,0.06689725101151414,260,510,760,2010,63.990898499963805
reg3,60,6,reg3_m60_s1,es,1,81.0,0.8518518518518519,0.9135802469135802,0.7660493827160494,0.10511913998112171,260,260,2010,,62.72162969998317
reg3,60,6,reg3_m60_s1,es,2,81.0,0.8765432098765432,0.9506172839506173,0.8092592592592592,0.10828002886630742,510,510,2510,,63.09845350001706
reg3,60,6,reg3_m60_s1,es+learned,0,81.0,0.8641975308641975,0.9135802469135802,0.7345679012345679,0.0695314384549135,510,1010,1510,,406.3502449999796
reg3,60,6,reg3_m60_s1,es+learned,1,81.0,0.9135802469135802,0.9382716049382716,0.8228395061728396,0.09578631393811296,260,510,1010,3010,424.7722300000023
reg3,60,6,reg3_m60_s1,es+learned,2,81.0,0.8271604938271605,0.8765432098765432,0.7135802469135802,0.07319284732730516,260,1010,,,426.91538009996293
reg3,60,6,reg3_m60_s1,es+pretrained,0,81.0,0.9135802469135802,0.9259259259259259,0.7981481481481483,0.06339569802101078,510,760,2260,16760,418.7112285000039
reg3,60,6,reg3_m60_s1,es+pretrained,1,81.0,0.9259259259259259,0.9629629629629629,0.8191358024691358,0.12226237113480941,510,1260,4010,5760,413.8949734000489
reg3,60,6,reg3_m60_s1,es+pretrained,2,81.0,0.9135802469135802,0.9629629629629629,0.7493827160493828,0.05010232553956258,260,1760,7510,8260,420.42671739996877
reg3,60,6,reg3_m60_s1,es+transfer,0,81.0,0.8518518518518519,0.9135802469135802,0.7981481481481483,0.14952663927887325,510,1260,3510,,415.07732929999474
reg3,60,6,reg3_m60_s1,es+transfer,1,81.0,0.9012345679012346,0.9382716049382716,0.7882716049382716,0.11603294739421106,510,1260,6010,7260,418.35888509999495
reg3,60,6,reg3_m60_s1,es+transfer,2,81.0,0.8641975308641975,0.8765432098765432,0.7376543209876543,0.06229293787536823,260,1760,11760,,425.5766569999978
