family,instance,arm,run,generation,evaluations,best_score,best_cut,pop_mean_cut,median_abs_corr,min_abs_corr,two_qubit,non_clifford,scorer_loss,seconds,ratio_best,ratio_pop_mean
er4,er4_m60_s0,es_1_2,0,0,10,0.7710230174381983,57.0,61.4,0.03422181726598081,1.0842021724855044e-18,20,32,,0.0431457000086084,0.5757575757575758,0.6202020202020202
er4,er4_m60_s0,es_1_2,0,5,260,1.1162952455527737,79.0,75.5,0.0528493875061289,1.0234868508263162e-16,20,34,,1.0263564999913797,0.797979797979798,0.7626262626262627
er4,er4_m60_s0,es_1_2,0,10,510,1.1162952455527737,79.0,79.6,0.0528493875061289,1.0234868508263162e-16,20,34,,2.0174583999905735,0.797979797979798,0.804040404040404
er4,er4_m60_s0,es_1_2,0,15,760,1.1512014616013597,82.0,80.4,0.06534770662945803,0.004953130117126523,20,36,,3.007906400016509,0.8282828282828283,0.8121212121212121
er4,er4_m60_s0,es_1_2,0,20,1010,1.1512014616013597,82.0,81.5,0.06534770662945803,0.004953130117126523,20,36,,3.9802297999849543,0.8282828282828283,0.8232323232323232
er4,er4_m60_s0,es_1_2,0,25,1260,1.1813784819481943,85.0,82.3,0.0576680770668086,0.000565913042894186,20,35,,4.917943999986164,0.8585858585858586,0.8313131313131313
er4,er4_m60_s0,es_1_2,0,30,1510,1.1813784819481943,85.0,83.1,0.0576680770668086,0.000565913042894186,20,35,,5.882229399983771,0.8585858585858586,0.8393939393939394
er4,er4_m60_s0,es_1_2,0,35,1760,1.1862971614191389,85.0,84.0,0.06586936611917946,0.001416891659551367,20,35,,6.818209199991543,0.8585858585858586,0.8484848484848485
er4,er4_m60_s0,es_1_2,0,40,2010,1.1862971614191389,85.0,85.0,0.06586936611917946,0.001416891659551367,20,35,,7.697263100009877,0.8585858585858586,0.8585858585858586
er4,er4_m60_s0,es_1_2,0,45,2260,1.1862971614191389,85.0,85.0,0.06586936611917946,0.001416891659551367,20,35,,8.63682269997662,0.8585858585858586,0.8585858585858586
er4,er4_m60_s0,es_1_2,0,50,2510,1.1862971614191389,85.0,85.0,0.06586936611917948,0.0014168916595512625,20,34,,9.568529099982698,0.8585858585858586,0.8585858585858586
er4,er4_m60_s0,es_1_2,0,55,2760,1.1923242442474944,85.0,85.0,0.07273061914186219,0.0015944914859686993,20,34,,10.409442099975422,0.8585858585858586,0.8585858585858586
er4,er4_m60_s0,es_1_2,0,60,3010,1.1923242442474944,85.0,85.0,0.07273061914186219,0.0015944914859686993,20,34,,11.408774200011976,0.8585858585858586,0.8585858585858586
er4,er4_m60_s0,es_1_2,0,65,3260,1.1923242442474944,85.0,85.0,0.07273061914186219,0.0015944914859686993,20,34,,12.356230499979574,0.8585858585858586,0.8585858585858586
er4,er4_m60_s0,es_1_2,0,70,3510,1.1923242442474944,85.0,85.0,0.07273061914186219,0.0015944914859686993,20,34,,13.334689799987245,0.8585858585858586,0.8585858585858586
er4,er4_m60_s0,es_1_2,0,75,3760,1.1950114595017034,85.0,85.0,0.0727306191418623,0.0015944914859686108,20,34,,14.350452899991069,0.8585858585858586,0.8585858585858586
er4,er4_m60_s0,es_1_2,0,80,4010,1.1950114595017034,85.0,85.0,0.0727306191418623,0.0015944914859686108,20,34,,15.293949400016572,0.8585858585858586,0.8585858585858586
er4,er4_m60_s0,es_1_2,0,85,4260,1.2041878279152722,86.0,85.1,0.07136802703625056,0.0010104540424872594,20,34,,16.3692854999681,0.8686868686868687,0.8595959595959596
er4,er4_m60_s0,es_1_2,0,90,4510,1.2041878279152722,86.0,85.3,0.07136802703625046,0.0010104540424871519,20,35,,17.241826499986928,0.8686868686868687,0.8616161616161616
er4,er4_m60_s0,es_1_2,0,95,4760,1.2041878279152722,86.0,85.6,0.07136802703625056,0.0010104540424872594,20,34,,18.124646699987352,0.8686868686868687,0.8646464646464646
er4,er4_m60_s0,es_1_2,0,100,5010,1.2056158490935873,86.0,86.0,0.07016777708601857,0.00025126706071015685,20,34,,19.18636409996543,0.8686868686868687,0.8686868686868687
er4,er4_m60_s0,es_1_2,0,105,5260,1.2056158490935873,86.0,86.0,0.07016777708601857,0.00025126706071015685,20,34,,20.244325099978596,0.8686868686868687,0.8686868686868687
er4,er4_m60_s0,es_1_2,0,110,5510,1.2056158490935873,86.0,86.0,0.07016777708601848,0.00025126706071018287,20,34,,21.229530899960082,0.8686868686868687,0.8686868686868687
er4,er4_m60_s0,es_1_2,0,115,5760,1.2056158490935873,86.0,86.0,0.07016777708601857,0.00025126706071015685,20,34,,22.31449680001242,0.8686868686868687,0.8686868686868687
er4,er4_m60_s0,es_1_2,0,120,6010,1.2056158490935873,86.0,86.0,0.07016777708601857,0.00025126706071015685,20,34,,23.188157299999148,0.8686868686868687,0.8686868686868687
er4,er4_m60_s0,es_1_2,0,125,6260,1.2056158490935873,86.0,86.0,0.07016777708601857,0.00025126706071015685,20,34,,24.10853089997545,0.8686868686868687,0.8686868686868687
er4,er4_m60_s0,es_1_2,0,130,6510,1.2056158490935873,86.0,86.0,0.07016777708601857,0.00025126706071015685,20,34,,25.266759899968747,0.8686868686868687,0.8686868686868687
er4,er4_m60_s0,es_1_2,0,135,6760,1.2056158490935873,86.0,86.0,0.07016777708601848,0.00025126706071018287,20,34,,26.06308719998924,0.8686868686868687,0.8686868686868687
er4,er4_m60_s0,es_1_2,0,140,7010,1.2056158490935873,86.0,86.0,0.07016777708601857,0.00025126706071015685,20,34,,26.923079299973324,0.8686868686868687,0.8686868686868687
er4,er4_m60_s0,es_1_2,0,145,7260,1.2056158490935873,86.0,86.0,0.07016777708601861,0.0002512670607102384,20,34,,27.926701899967156,0.8686868686868687,0.8686868686868687
er4,er4_m60_s0,es_1_2,0,150,7510,1.2056158490935873,86.0,86.0,0.07016777708601858,0.00025126706071027655,20,35,,28.812383299984504,0.8686868686868687,0.8686868686868687
er4,er4_m60_s0,es_1_2,0,155,7760,1.2056158490935873,86.0,86.0,0.07016777708601857,0.00025126706071015685,20,34,,29.610754899971653,0.8686868686868687,0.8686868686868687
