family,instance,m,n,arm,run,best_known,ratio_raw,ratio_ls,ratio_1000shots,median_abs_corr,evals_to_0.75,evals_to_0.8,evals_to_0.85,evals_to_0.9,transfer_source,pretrain_evaluations,pretrain_val_nll,seconds
reg3,reg3_m60_s0,60,6,es_1_2,0,83.0,0.8674698795180723,0.9397590361445783,0.7060240963855422,0.05145733456292095,510,1010,7760,,,0,,77.70162270002766
reg3,reg3_m60_s0,60,6,es_1_2,1,83.0,0.8795180722891566,0.9156626506024096,0.8409638554216867,0.1395638002972584,760,1010,3760,,,0,,73.56570139998803
reg3,reg3_m60_s0,60,6,es_1_2,2,83.0,0.8433734939759037,0.9156626506024096,0.6849397590361446,0.053161137778175785,760,1760,,,,0,,70.79664539999794
reg3,reg3_m60_s0,60,6,es_1_2,3,83.0,0.8674698795180723,0.9397590361445783,0.769277108433735,0.09806399336511945,1010,1010,3010,,,0,,66.54980209999485
reg3,reg3_m60_s0,60,6,es_1_2,4,83.0,0.8795180722891566,0.891566265060241,0.7662650602409639,0.0653915872714911,1010,8510,9260,,,0,,78.50188359996537
reg3,reg3_m60_s0,60,6,es_single,0,83.0,0.8313253012048193,0.9156626506024096,0.7198795180722891,0.12095881101519163,510,760,,,,0,,71.50865510001313
reg3,reg3_m60_s0,60,6,es_single,1,83.0,0.8554216867469879,0.8674698795180723,0.7927710843373493,0.14108602291110167,1010,1260,3510,,,0,,75.87778500001878
reg3,reg3_m60_s0,60,6,es_single,2,83.0,0.8192771084337349,0.8554216867469879,0.7192771084337349,0.10420317498305681,1260,2010,,,,0,,80.70309640001506
reg3,reg3_m60_s0,60,6,es_single,3,83.0,0.9156626506024096,0.9397590361445783,0.7783132530120481,0.05465491099311488,510,1010,2260,6260,,0,,82.51820679998491
reg3,reg3_m60_s0,60,6,es_single,4,83.0,0.8192771084337349,0.891566265060241,0.733132530120482,0.09700112234703329,510,1260,,,,0,,83.87114440003643
reg3,reg3_m60_s0,60,6,es_learned,0,83.0,0.891566265060241,0.9518072289156626,0.7656626506024096,0.08353783078036983,510,1260,3010,,,0,,686.1832511000102
reg3,reg3_m60_s0,60,6,es_learned,1,83.0,0.8072289156626506,0.891566265060241,0.7048192771084337,0.06890606549161887,510,2010,,,,0,,677.571557599993
reg3,reg3_m60_s0,60,6,es_learned,2,83.0,0.8313253012048193,0.8795180722891566,0.7891566265060241,0.09665277962927246,510,1260,,,,0,,673.3715177999693
reg3,reg3_m60_s0,60,6,es_learned,3,83.0,0.8795180722891566,0.927710843373494,0.6879518072289157,0.054866976393431126,260,260,5010,,,0,,680.1523783999728
reg3,reg3_m60_s0,60,6,es_learned,4,83.0,0.8433734939759037,0.8795180722891566,0.7361445783132531,0.05226842253479562,510,2260,,,,0,,4848.210282200016
reg3,reg3_m60_s0,60,6,es_transfer_dc,0,83.0,0.891566265060241,0.9397590361445783,0.7987951807228916,0.10821755884701001,760,1760,4010,,reg3_m60_s1,184320,0.01382910180836916,660.4958683999721
reg3,reg3_m60_s0,60,6,es_transfer_dc,1,83.0,0.8072289156626506,0.9036144578313253,0.6831325301204819,0.07882326782558008,1010,10010,,,reg3_m60_s1,184320,0.010649127885699272,650.3881914999802
reg3,reg3_m60_s0,60,6,es_transfer_dc,2,83.0,0.8674698795180723,0.9156626506024096,0.7234939759036144,0.04464646624847489,510,1760,3010,,reg3_m60_s1,184320,0.0076348367147147655,636.4789528999827
reg3,reg3_m60_s0,60,6,es_transfer_dc,3,83.0,0.8313253012048193,0.9036144578313253,0.733132530120482,0.06931388606334601,260,1010,,,reg3_m60_s1,184320,0.01466919295489788,658.0282104000216
reg3,reg3_m60_s0,60,6,es_transfer_dc,4,83.0,0.8433734939759037,0.9397590361445783,0.7174698795180723,0.07056088609258292,510,760,,,reg3_m60_s1,184320,0.014519508928060532,630.3494183000294
reg3,reg3_m60_s1,60,6,es_1_2,0,81.0,0.9012345679012346,0.9382716049382716,0.7518518518518519,0.05917592909750882,760,760,2260,7010,,0,,69.99243169999681
reg3,reg3_m60_s1,60,6,es_1_2,1,81.0,0.8888888888888888,0.9259259259259259,0.8234567901234568,0.08644403152960753,260,510,2760,,,0,,70.39661769999657
reg3,reg3_m60_s1,60,6,es_1_2,2,81.0,0.8888888888888888,0.9506172839506173,0.7462962962962963,0.055282639641371346,510,1010,1760,,,0,,71.12915619998239
reg3,reg3_m60_s1,60,6,es_1_2,3,81.0,0.8888888888888888,0.9506172839506173,0.687037037037037,0.03306874617433545,510,760,2260,,,0,,71.07593320001615
reg3,reg3_m60_s1,60,6,es_1_2,4,81.0,0.8888888888888888,0.9012345679012346,0.7555555555555555,0.07918636550868832,510,760,2510,,,0,,83.75825070001883
reg3,reg3_m60_s1,60,6,es_single,0,81.0,0.9012345679012346,0.9506172839506173,0.8018518518518519,0.07050181351551077,260,510,1010,5010,,0,,78.29169949999778
reg3,reg3_m60_s1,60,6,es_single,1,81.0,0.9012345679012346,0.9382716049382716,0.7716049382716049,0.06689725101151414,260,510,760,2010,,0,,75.47467880003387
reg3,reg3_m60_s1,60,6,es_single,2,81.0,0.8765432098765432,0.9135802469135802,0.7611111111111111,0.05197458817086813,510,760,1260,,,0,,75.5101211000001
reg3,reg3_m60_s1,60,6,es_single,3,81.0,0.9506172839506173,0.9629629629629629,0.6907407407407408,0.02482554311722042,510,1260,2010,3010,,0,,80.40259660000447
reg3,reg3_m60_s1,60,6,es_single,4,81.0,0.8641975308641975,0.9382716049382716,0.737037037037037,0.07836247818592337,260,1010,1760,,,0,,93.88405350001995
reg3,reg3_m60_s1,60,6,es_learned,0,81.0,0.8641975308641975,0.9382716049382716,0.7753086419753086,0.11933747206633166,510,1260,1760,,,0,,620.3154062000103
reg3,reg3_m60_s1,60,6,es_learned,1,81.0,0.9012345679012346,0.9135802469135802,0.8407407407407407,0.10735637766216909,510,760,3260,14010,,0,,624.9336628000019
reg3,reg3_m60_s1,60,6,es_learned,2,81.0,0.8765432098765432,0.9259259259259259,0.8012345679012346,0.08635490534575566,510,760,1260,,,0,,627.0520617999719
reg3,reg3_m60_s1,60,6,es_learned,3,81.0,0.9382716049382716,0.9382716049382716,0.85,0.09779563716186856,260,510,760,10010,,0,,641.8518346999772
reg3,reg3_m60_s1,60,6,es_learned,4,81.0,0.8641975308641975,0.9506172839506173,0.7345679012345679,0.06747770933502248,760,760,1510,,,0,,627.2662926000194
reg3,reg3_m60_s1,60,6,es_transfer_dc,0,81.0,0.8641975308641975,0.9629629629629629,0.7240740740740741,0.08611472837566528,760,1260,3510,,reg3_m60_s0,184320,0.018612490966916084,653.4911646999535
reg3,reg3_m60_s1,60,6,es_transfer_dc,1,81.0,0.9012345679012346,0.9506172839506173,0.7709876543209877,0.08890752175682046,510,1010,1260,1760,reg3_m60_s0,184320,0.012281735427677631,612.6627289999742
reg3,reg3_m60_s1,60,6,es_transfer_dc,2,81.0,0.8518518518518519,0.8888888888888888,0.7654320987654321,0.0828069882933623,260,510,10260,,reg3_m60_s0,184320,0.013367192819714546,652.768861300021
reg3,reg3_m60_s1,60,6,es_transfer_dc,3,81.0,0.9259259259259259,0.9506172839506173,0.8932098765432098,0.09361632361334322,260,510,1010,1760,reg3_m60_s0,184320,0.01595238223671913,649.5406400000211
reg3,reg3_m60_s1,60,6,es_transfer_dc,4,81.0,0.8765432098765432,0.9382716049382716,0.6709876543209877,0.05020462514116873,510,1010,1260,,reg3_m60_s0,184320,0.013405680656433105,610.8111817000317
