family,instance,m,n,arm,run,best_known,ratio_raw,ratio_ls,ratio_1000shots,median_abs_corr,evals_to_0.75,evals_to_0.8,evals_to_0.85,evals_to_0.9,transfer_source,pretrain_evaluations,pretrain_val_nll,seconds
er4,er4_m60_s0,60,6,es_1_2,0,99.0,0.8686868686868687,0.9292929292929293,0.7484848484848484,0.07016777708601857,260,760,1260,,,0,,71.81026369996835
er4,er4_m60_s0,60,6,es_1_2,1,99.0,0.898989898989899,0.9393939393939394,0.859090909090909,0.17778736371174703,260,510,1760,,,0,,73.08150919998297
er4,er4_m60_s0,60,6,es_1_2,2,99.0,0.9393939393939394,0.9393939393939394,0.8666666666666666,0.12199269771613025,260,760,1010,5260,,0,,72.03619309997885
er4,er4_m60_s0,60,6,es_1_2,3,99.0,0.9696969696969697,0.9797979797979798,0.8974747474747474,0.09760325950103868,260,760,2010,11260,,0,,66.85820239997702
er4,er4_m60_s0,60,6,es_1_2,4,99.0,0.8787878787878788,0.898989898989899,0.7808080808080807,0.11537511636716942,260,510,1010,,,0,,75.5467327000224
er4,er4_m60_s0,60,6,es_single,0,99.0,0.9191919191919192,0.9595959595959596,0.7590909090909091,0.03715920832137371,260,260,760,1010,,0,,70.83370620000642
er4,er4_m60_s0,60,6,es_single,1,99.0,0.9292929292929293,0.9595959595959596,0.8939393939393939,0.15074535256155444,260,260,1010,3260,,0,,77.69242750003468
er4,er4_m60_s0,60,6,es_single,2,99.0,0.9292929292929293,0.9595959595959596,0.8121212121212121,0.05521023736568169,260,260,760,2510,,0,,80.13190079998458
er4,er4_m60_s0,60,6,es_single,3,99.0,0.9393939393939394,0.9797979797979798,0.8585858585858586,0.07142342679661286,260,510,1010,6010,,0,,79.46793949999847
er4,er4_m60_s0,60,6,es_single,4,99.0,0.9191919191919192,0.9797979797979798,0.8414141414141414,0.12922517053307012,260,510,1010,2260,,0,,82.99139929999365
er4,er4_m60_s0,60,6,es_learned,0,99.0,0.9191919191919192,0.9292929292929293,0.8085858585858585,0.0858240329090647,260,260,510,9260,,0,,682.6059711999842
er4,er4_m60_s0,60,6,es_learned,1,99.0,0.9595959595959596,0.9595959595959596,0.8575757575757577,0.0980290506676458,260,1010,1510,1760,,0,,678.7135144000058
er4,er4_m60_s0,60,6,es_learned,2,99.0,0.9090909090909091,0.9393939393939394,0.8146464646464647,0.10659470911285648,260,510,1010,3010,,0,,671.9291207999922
er4,er4_m60_s0,60,6,es_learned,3,99.0,0.898989898989899,0.9696969696969697,0.7737373737373737,0.09618276477096899,510,760,1010,,,0,,678.3133565000026
er4,er4_m60_s0,60,6,es_learned,4,99.0,0.9191919191919192,0.9393939393939394,0.8606060606060606,0.12125583838286337,260,510,760,1760,,0,,4844.355257100018
er4,er4_m60_s0,60,6,es_transfer_dc,0,99.0,0.9191919191919192,0.9494949494949495,0.8282828282828283,0.08525090293545066,260,510,1010,7760,reg3_m60_s0,184320,0.01841888204216957,657.3744635999901
er4,er4_m60_s0,60,6,es_transfer_dc,1,99.0,0.898989898989899,0.9090909090909091,0.791919191919192,0.06859163802054502,260,510,510,,reg3_m60_s0,184320,0.011664878576993942,647.0988607999752
er4,er4_m60_s0,60,6,es_transfer_dc,2,99.0,0.9393939393939394,0.9494949494949495,0.8934343434343435,0.12211171693247237,260,510,760,3760,reg3_m60_s0,184320,0.01814676634967327,648.899786999973
er4,er4_m60_s0,60,6,es_transfer_dc,3,99.0,0.8686868686868687,0.9494949494949495,0.7848484848484849,0.07936668593588811,260,510,2260,,reg3_m60_s0,184320,0.01475868932902813,666.0748762000003
er4,er4_m60_s0,60,6,es_transfer_dc,4,99.0,0.9292929292929293,0.9494949494949495,0.8727272727272728,0.12474680423755942,260,510,1010,6760,reg3_m60_s0,184320,0.015799066051840782,646.1302976000006
er4,er4_m60_s1,60,6,es_1_2,0,100.0,0.94,0.95,0.898,0.16174596599056695,260,510,760,3260,,0,,82.04764679999789
er4,er4_m60_s1,60,6,es_1_2,1,100.0,0.93,0.94,0.8440000000000001,0.12283068599831748,260,510,760,1260,,0,,71.31912629998988
er4,er4_m60_s1,60,6,es_1_2,2,100.0,0.9,0.92,0.768,0.06661991341568604,260,260,760,4010,,0,,68.76132579997648
er4,er4_m60_s1,60,6,es_1_2,3,100.0,0.89,0.95,0.8134999999999999,0.10895496797333162,260,760,1010,,,0,,69.03671899996698
er4,er4_m60_s1,60,6,es_1_2,4,100.0,0.87,0.95,0.731,0.07333050513377737,260,1260,2510,,,0,,72.12222020002082
er4,er4_m60_s1,60,6,es_single,0,100.0,0.89,0.91,0.8205,0.15774367138424308,260,760,1510,,,0,,75.02853369998047
er4,er4_m60_s1,60,6,es_single,1,100.0,0.89,0.95,0.835,0.14194119593350596,260,260,1260,,,0,,86.26087800000096
er4,er4_m60_s1,60,6,es_single,2,100.0,0.93,0.95,0.7905,0.0887650423014463,260,510,510,1510,,0,,73.05867319996469
er4,er4_m60_s1,60,6,es_single,3,100.0,0.94,0.97,0.8029999999999999,0.1083099778544723,260,510,760,1510,,0,,74.4088357000146
er4,er4_m60_s1,60,6,es_single,4,100.0,0.93,0.96,0.7340000000000001,0.04119342831862012,260,260,510,2760,,0,,70.6917650999967
er4,er4_m60_s1,60,6,es_learned,0,100.0,0.92,0.98,0.7865000000000001,0.08986622131004618,260,510,2510,4260,,0,,622.9724357000086
er4,er4_m60_s1,60,6,es_learned,1,100.0,0.92,0.96,0.8384999999999999,0.12701854717946476,260,260,760,3510,,0,,622.0775865999749
er4,er4_m60_s1,60,6,es_learned,2,100.0,0.91,0.94,0.8540000000000001,0.1102468177279495,260,260,760,4510,,0,,627.105453199998
er4,er4_m60_s1,60,6,es_learned,3,100.0,0.93,0.95,0.7885,0.058507946997079396,260,510,1010,2010,,0,,636.8957698000013
er4,er4_m60_s1,60,6,es_learned,4,100.0,0.89,0.95,0.7615000000000001,0.0631462086534933,260,1510,2760,,,0,,629.5563941000146
er4,er4_m60_s1,60,6,es_transfer_dc,0,100.0,0.93,0.97,0.8425,0.09401640691676466,260,760,1760,4260,reg3_m60_s0,184320,0.01944435015320778,662.2165774999885
er4,er4_m60_s1,60,6,es_transfer_dc,1,100.0,0.92,0.95,0.884,0.19932728496808655,260,260,760,3260,reg3_m60_s0,184320,0.013243102468550205,622.0240079999785
er4,er4_m60_s1,60,6,es_transfer_dc,2,100.0,0.91,0.93,0.818,0.10010928425899393,260,260,1010,2510,reg3_m60_s0,184320,0.011021299287676811,652.094122999988
er4,er4_m60_s1,60,6,es_transfer_dc,3,100.0,0.92,0.97,0.8595,0.12633351240818613,260,260,1010,2510,reg3_m60_s0,184320,0.015068503096699715,647.9143058999907
er4,er4_m60_s1,60,6,es_transfer_dc,4,100.0,0.9,0.91,0.847,0.145216575967203,260,510,760,15760,reg3_m60_s0,184320,0.019645020365715027,640.1231497999979
