instance_id,family,grid,config,B,L,m,n,k,overlay_MW,gen_seed,candidate_buses,benefit_magnitude,budget_lo,budget_hi,budget_cap,budget_used_at_opt,optimum_value,optimum_source,mip_time_ms,trivial,saturated,n_sited_at_opt,total_levels_at_opt,levels_at_opt,frac_neg_c,cert_greedy1_rate,cert_status
IEEE-14_core_b5l9_000,grid,IEEE-14,core_b5l9,5,9,45,6,2,0,2418573751,"[9, 10, 4, 14, 11]",20.0,0.15,0.35,15.227986614407774,15.0,-33.2688007640227,MIP,8.535385131835938,False,False,2,10,"[5, 5, 0, 0, 0]",0.7777777777777778,0.1,certified
IEEE-14_core_b5l9_001,grid,IEEE-14,core_b5l9,5,9,45,6,2,0,3878662433,"[9, 10, 4, 14, 11]",20.0,0.15,0.35,16.0874697302049,0.0,0.0,MIP,1.5044212341308594,True,False,0,0,"[0, 0, 0, 0, 0]",0.0,0.1,certified
IEEE-14_core_b5l9_002,grid,IEEE-14,core_b5l9,5,9,45,6,2,0,2116477083,"[9, 10, 4, 14, 11]",20.0,0.15,0.35,16.57336692434356,15.0,-33.2688007640227,MIP,17.645597457885742,False,False,2,10,"[5, 5, 0, 0, 0]",0.7777777777777778,0.1,certified
IEEE-14_core_b5l9_003,grid,IEEE-14,core_b5l9,5,9,45,6,2,0,153210893,"[9, 10, 4, 14, 11]",20.0,0.15,0.35,24.9630845176853,2.7,-1.2170556016287928,MIP,2.325773239135742,False,False,1,2,"[0, 0, 0, 0, 2]",0.13333333333333333,0.1,certified
IEEE-14_core_b5l9_004,grid,IEEE-14,core_b5l9,5,9,45,6,2,0,2537899438,"[9, 10, 4, 14, 11]",20.0,0.15,0.35,28.286911760106126,19.0,-15.760152112086637,MIP,8.464813232421875,False,False,2,12,"[6, 0, 6, 0, 0]",0.6222222222222222,0.1,certified
IEEE-14_core_b5l9_005,grid,IEEE-14,core_b5l9,5,9,45,6,2,0,3762451768,"[9, 10, 4, 14, 11]",20.0,0.15,0.35,22.45567685589288,4.1,-2.7862574241623568,MIP,2.009153366088867,False,False,1,3,"[3, 0, 0, 0, 0]",0.3333333333333333,0.1,certified
IEEE-14_core_b5l9_006,grid,IEEE-14,core_b5l9,5,9,45,6,2,0,2034967682,"[9, 10, 4, 14, 11]",20.0,0.15,0.35,28.547614378939567,19.0,-15.760152112086637,MIP,7.458209991455078,False,False,2,12,"[6, 0, 6, 0, 0]",0.6222222222222222,0.1,certified
IEEE-14_core_b5l9_007,grid,IEEE-14,core_b5l9,5,9,45,6,2,0,239866900,"[9, 10, 4, 14, 11]",20.0,0.15,0.35,20.54906146241907,19.0,-36.29107256327213,MIP,8.718729019165039,False,False,2,12,"[6, 6, 0, 0, 0]",0.7777777777777778,0.1,certified
IEEE-14_core_b5l9_008,grid,IEEE-14,core_b5l9,5,9,45,6,2,0,2666727813,"[9, 10, 4, 14, 11]",20.0,0.15,0.35,29.200512914059747,17.0,-11.535640508160686,MIP,5.772829055786133,False,False,2,11,"[6, 0, 5, 0, 0]",0.5555555555555556,0.1,certified
IEEE-14_core_b5l9_009,grid,IEEE-14,core_b5l9,5,9,45,6,2,0,3925096723,"[9, 10, 4, 14, 11]",20.0,0.15,0.35,14.415001695708376,13.2,-31.340492511106177,MIP,13.128519058227539,False,False,2,9,"[5, 4, 0, 0, 0]",0.7777777777777778,0.1,certified
IEEE-14_core_b5l9_010,grid,IEEE-14,core_b5l9,5,9,45,6,2,0,3092635854,"[9, 10, 4, 14, 11]",20.0,0.15,0.35,24.2179761628165,7.499999999999999,-5.943560285150139,MIP,1.4383792877197266,False,False,1,5,"[0, 0, 5, 0, 0]",0.2222222222222222,0.1,certified
IEEE-14_core_b5l9_011,grid,IEEE-14,core_b5l9,5,9,45,6,2,0,3478311000,"[9, 10, 4, 14, 11]",20.0,0.15,0.35,14.815095203653906,13.2,-13.645070497090845,MIP,8.20016860961914,False,False,2,9,"[5, 0, 4, 0, 0]",0.6222222222222222,0.1,certified
IEEE-14_core_b5l9_012,grid,IEEE-14,core_b5l9,5,9,45,6,2,0,1448837602,"[9, 10, 4, 14, 11]",20.0,0.15,0.35,12.6226741581201,2.7,-1.196623257465287,MIP,1.5707015991210938,False,False,1,2,"[0, 0, 0, 0, 2]",0.1111111111111111,0.1,certified
