instance_id,grid,config,m,B,L,gqe_seed,optimum,gqe_cost,sa_cost,tabu_cost,greedy1_cost,greedy20_cost,blind_cost,gqe_exact,sa_exact,tabu_exact,greedy1_exact,greedy20_exact,blind_exact,gqe_gap,blind_gap,n_gates
IEEE-57_v57_core_b4l10_004,IEEE-57,v57_core_b4l10,40,4,10,101,-23.538573646072223,-22.735573693187952,-23.462122870522627,-23.538573646072212,-22.735573693187952,-22.735573693187952,-22.735573693187952,False,False,True,False,False,False,0.8029999528842708,0.8029999528842708,19
IEEE-57_v57_core_b4l10_004,IEEE-57,v57_core_b4l10,40,4,10,102,-23.538573646072223,-22.735573693187952,-23.462122870522627,-23.538573646072212,-22.735573693187952,-22.735573693187952,-22.735573693187952,False,False,True,False,False,False,0.8029999528842708,0.8029999528842708,19
IEEE-30_v30_core_b4l10_006,IEEE-30,v30_core_b4l10,40,4,10,101,-9.529155777470962,-5.797623406538703,-9.213061990675154,-9.529155777470965,2.3073833053088073,2.3073833053088073,-9.213061990675154,False,False,True,False,False,False,3.7315323709322588,0.3160937867958076,19
IEEE-30_v30_core_b4l10_006,IEEE-30,v30_core_b4l10,40,4,10,102,-9.529155777470962,-5.797623406538703,-9.213061990675154,-9.529155777470965,2.3073833053088073,2.3073833053088073,-9.213061990675154,False,False,True,False,False,False,3.7315323709322588,0.3160937867958076,19
IEEE-57_v57_core_b4l10_007,IEEE-57,v57_core_b4l10,40,4,10,101,-23.538573646072223,-22.735573693187952,-23.538573646072212,-23.538573646072212,-18.66351599619303,-22.735573693187952,-22.735573693187952,False,True,True,False,False,False,0.8029999528842708,0.8029999528842708,19
IEEE-57_v57_core_b4l10_007,IEEE-57,v57_core_b4l10,40,4,10,102,-23.538573646072223,-22.735573693187952,-23.538573646072212,-23.538573646072212,-18.66351599619303,-22.735573693187952,-22.735573693187952,False,True,True,False,False,False,0.8029999528842708,0.8029999528842708,19
IEEE-14_core_b4l10_008,IEEE-14,core_b4l10,40,4,10,101,0.0,1.5,0.0,0.0,0.0,0.0,0.0,False,True,True,True,True,True,1.5,0.0,19
IEEE-14_core_b4l10_008,IEEE-14,core_b4l10,40,4,10,102,0.0,1.5,0.0,0.0,0.0,0.0,0.0,False,True,True,True,True,True,1.5,0.0,19
IEEE-14_core_b5l9_009,IEEE-14,core_b5l9,45,5,9,101,-31.340492511106177,-31.34049251110618,-31.34049251110618,-28.732427288004263,-20.848342286881103,-20.848342286881103,-31.34049251110618,True,True,False,False,False,True,-3.552713678800501e-15,-3.552713678800501e-15,19
IEEE-14_core_b5l9_009,IEEE-14,core_b5l9,45,5,9,102,-31.340492511106177,-31.34049251110618,-31.34049251110618,-28.732427288004263,-20.848342286881103,-20.848342286881103,-31.34049251110618,True,True,False,False,False,True,-3.552713678800501e-15,-3.552713678800501e-15,19
IEEE-118_v118_core_b5l9_004,IEEE-118,v118_core_b5l9,45,5,9,101,-22.67798423411653,-22.362722230769158,-22.67798423411464,-22.67798423411464,-14.51688492614681,-14.564005083326638,-22.67798423411464,False,True,True,False,False,True,0.315262003347371,1.8900436771218665e-12,19
IEEE-118_v118_core_b5l9_004,IEEE-118,v118_core_b5l9,45,5,9,102,-22.67798423411653,-19.859759937062158,-22.67798423411464,-22.67798423411464,-14.51688492614681,-14.564005083326638,-22.67798423411464,False,True,True,False,False,True,2.818224297054371,1.8900436771218665e-12,19
IEEE-57_v57_core_b5l9_000,IEEE-57,v57_core_b5l9,45,5,9,101,-29.36817484116324,-28.053875485422854,-13.437802208942593,-27.35782701175247,-17.601878332567278,-23.99239340214093,-28.252880470826682,False,False,False,False,False,False,1.3142993557403848,1.1152943703365565,19
IEEE-57_v57_core_b5l9_000,IEEE-57,v57_core_b5l9,45,5,9,102,-29.36817484116324,-26.518235732368176,-13.437802208942593,-27.35782701175247,-17.601878332567278,-23.99239340214093,-28.252880470826682,False,False,False,False,False,False,2.8499391087950627,1.1152943703365565,19
IEEE-118_v118_core_b4l10_008,IEEE-118,v118_core_b4l10,40,4,10,101,-8.186007850981582,-4.293790944507615,-8.186007850982392,-8.186007850982392,2.9240171729553275,2.9240171729553275,-8.186007850982392,False,True,True,False,False,True,3.8922169064739673,-8.100187187665142e-13,19
IEEE-118_v118_core_b4l10_008,IEEE-118,v118_core_b4l10,40,4,10,102,-8.186007850981582,-4.293790944507615,-8.186007850982392,-8.186007850982392,2.9240171729553275,2.9240171729553275,-8.186007850982392,False,True,True,False,False,True,3.8922169064739673,-8.100187187665142e-13,19
IEEE-30_v30_core_b4l10_005,IEEE-30,v30_core_b4l10,40,4,10,101,-9.529155777470962,-5.797623406538703,-9.529155777470965,-9.529155777470965,2.3073833053088073,-5.797623406538703,-9.529155777470965,False,True,True,False,False,True,3.7315323709322588,-3.552713678800501e-15,19
IEEE-30_v30_core_b4l10_005,IEEE-30,v30_core_b4l10,40,4,10,102,-9.529155777470962,-5.797623406538703,-9.529155777470965,-9.529155777470965,2.3073833053088073,-5.797623406538703,-9.529155777470965,False,True,True,False,False,True,3.7315323709322588,-3.552713678800501e-15,19
IEEE-118_v118_core_b5l9_001,IEEE-118,v118_core_b5l9,45,5,9,101,-25.42584549631278,-24.497509294123972,-24.86182651204739,-25.425845496312515,-19.79159976919817,-24.497509294123972,-25.425845496312515,False,False,True,False,False,True,0.928336202188806,2.6290081223123707e-13,19
