instance_id,grid,config,m,optimum,ceil3x_cost,ceil3x_cost_raw,ceil3x_gates,ceil3x_max_gates
IEEE-118_v118_core_b5l9_001,IEEE-118,v118_core_b5l9,45,-25.42584549631278,-25.425845496312515,-25.425845496312515,59,59
IEEE-14_core_b5l9_005,IEEE-14,core_b5l9,45,-2.7862574241623568,0.0,13.83404474879398,59,59
IEEE-14_core_b5l9_004,IEEE-14,core_b5l9,45,-15.760152112086637,-9.683494500270896,-9.683494500270896,59,59
IEEE-14_core_b4l10_004,IEEE-14,core_b4l10,40,-1.2482096159673952,0.0,4.055157396587731,59,59
IEEE-14_core_b5l9_003,IEEE-14,core_b5l9,45,-1.2170556016287928,0.0,1.8595914232086899,59,59
IEEE-118_v118_core_b4l10_004,IEEE-118,v118_core_b4l10,40,-9.447001941327157,-9.447001941327228,-9.447001941327228,59,59
IEEE-118_v118_core_b4l10_009,IEEE-118,v118_core_b4l10,40,-16.581638780949362,-16.58163878094941,-16.58163878094941,59,59
IEEE-118_v118_core_b4l10_007,IEEE-118,v118_core_b4l10,40,-8.370761972544551,-7.807404275903792,-7.807404275903792,59,59
IEEE-14_core_b5l9_001,IEEE-14,core_b5l9,45,0.0,0.0,0.0,59,59
IEEE-118_v118_core_b4l10_001,IEEE-118,v118_core_b4l10,40,-16.583268972729833,-16.583268972729876,-16.583268972729876,59,59
IEEE-14_core_b5l9_009,IEEE-14,core_b5l9,45,-31.340492511106177,-31.34049251110618,-31.34049251110618,59,59
IEEE-14_core_b4l10_002,IEEE-14,core_b4l10,40,-5.306622581715756,-0.98731317619949,-0.98731317619949,59,59
IEEE-14_core_b4l10_001,IEEE-14,core_b4l10,40,-0.4314169239501244,-0.43141692395012443,-0.43141692395012443,59,59
IEEE-14_core_b5l9_006,IEEE-14,core_b5l9,45,-15.760152112086637,-9.683494500270896,-9.683494500270896,59,59
IEEE-118_v118_core_b4l10_005,IEEE-118,v118_core_b4l10,40,-7.564074341215127,-6.314975771785008,-6.314975771785008,59,59
IEEE-14_core_b5l9_008,IEEE-14,core_b5l9,45,-11.535640508160686,-7.810561301265153,-7.810561301265153,59,59
IEEE-118_v118_core_b4l10_002,IEEE-118,v118_core_b4l10,40,-16.727061104747143,-16.26647432590338,-16.26647432590338,59,59
IEEE-14_core_b4l10_000,IEEE-14,core_b4l10,40,-1.2482096159673952,-1.2482096159673992,-1.2482096159673992,59,59
IEEE-118_v118_core_b5l9_000,IEEE-118,v118_core_b5l9,45,-17.937904115285356,-17.93790411528801,-17.93790411528801,59,59
IEEE-14_core_b4l10_003,IEEE-14,core_b4l10,40,-12.49464659130168,-10.617393572586685,-10.617393572586685,59,59
IEEE-14_core_b5l9_007,IEEE-14,core_b5l9,45,-36.29107256327213,-32.996867132470236,-32.996867132470236,59,59
