instance_id,grid,config,m,optimum,arm,cost,gates,ceiling,vocab_size
IEEE-14_core_b4l10_000,IEEE-14,core_b4l10,40,-1.2482096159673952,ceil3x_ref,-1.2482096159673992,59,59,506
IEEE-118_v118_core_b5l9_000,IEEE-118,v118_core_b5l9,45,-17.937904115285356,ceil3x_k3,-17.93790411528801,59,59,506
IEEE-118_v118_core_b4l10_002,IEEE-118,v118_core_b4l10,40,-16.727061104747143,ceil3x_ref,-16.727061104747218,59,59,506
IEEE-118_v118_core_b4l10_001,IEEE-118,v118_core_b4l10,40,-16.583268972729833,ceil3x_k3,-16.583268972729876,59,59,506
IEEE-14_core_b5l9_000,IEEE-14,core_b5l9,45,-33.2688007640227,ceil3x_k3,-33.2688007640227,59,59,506
IEEE-118_v118_core_b4l10_000,IEEE-118,v118_core_b4l10,40,-16.30306280167277,ceil3x_ref,-16.078158496575792,59,59,506
IEEE-14_core_b4l10_001,IEEE-14,core_b4l10,40,-0.4314169239501244,ceil3x_k3,-0.4314169239501244,59,59,506
IEEE-14_core_b4l10_002,IEEE-14,core_b4l10,40,-5.306622581715756,ceil3x_ref,-0.98731317619949,59,59,506
IEEE-14_core_b5l9_001,IEEE-14,core_b5l9,45,0.0,ceil3x_ref,0.0,59,59,506
IEEE-14_core_b5l9_002,IEEE-14,core_b5l9,45,-33.2688007640227,ceil3x_k3,-33.2688007640227,59,59,506
IEEE-118_v118_core_b5l9_001,IEEE-118,v118_core_b5l9,45,-25.42584549631278,ceil3x_ref,-25.425845496312515,59,59,506
IEEE-14_core_b4l10_002,IEEE-14,core_b4l10,40,-5.306622581715756,ceil3x_ang16,-5.306622581715796,59,59,1010
IEEE-118_v118_core_b4l10_002,IEEE-118,v118_core_b4l10,40,-16.727061104747143,ceil3x_ang16,-16.727061104747218,59,59,1010
IEEE-118_v118_core_b4l10_000,IEEE-118,v118_core_b4l10,40,-16.30306280167277,ceil3x_ang16,-16.078158496575792,59,59,1010
IEEE-14_core_b4l10_000,IEEE-14,core_b4l10,40,-1.2482096159673952,ceil3x_ang16,-1.2482096159673992,59,59,1010
IEEE-14_core_b5l9_001,IEEE-14,core_b5l9,45,0.0,ceil3x_ang16,0.0,59,59,1010
IEEE-30_v30_core_b4l10_002,IEEE-30,v30_core_b4l10,40,-9.529155777470962,ceil3x_ref,-9.213061990675154,59,59,506
IEEE-30_v30_core_b4l10_001,IEEE-30,v30_core_b4l10,40,-7.0929238200428,ceil3x_k3,-7.092923820042806,59,59,506
IEEE-30_v30_core_b5l9_002,IEEE-30,v30_core_b5l9,45,-8.617337181390432,ceil3x_k3,-8.61733718139044,59,59,506
