grid,instance,seed,cost_weighted,cost_deterministic,levels_weighted,levels_deterministic,decision_changed,n_sites_weighted,n_sites_det,total_levels_weighted,total_levels_det,tail_cost_stochastic_decision,tail_cost_deterministic_decision,vss
IEEE-14,0,496495955,-8.259041648437318,-13.693373899953311,"[5, 0, 0, 0, 0]","[6, 0, 0, 0, 0]",True,1,1,5,6,-8.259041648437318,-8.126728998775693,0.1323126496616247
IEEE-14,1,1787878853,-7.496114981394989,-15.081798591291964,"[5, 0, 0, 0, 0]","[6, 0, 6, 0, 0]",True,1,2,5,12,-7.496114981394989,-5.301930470290945,2.1941845111040434
IEEE-14,2,4086926463,-8.715514374694362,-15.081798591291964,"[5, 0, 0, 0, 0]","[6, 0, 6, 0, 0]",True,1,2,5,12,-8.715514374694362,-7.521097262128563,1.194417112565798
IEEE-14,3,2224995561,-9.373801896923174,-13.693373899953311,"[5, 0, 0, 0, 0]","[6, 0, 0, 0, 0]",True,1,1,5,6,-9.373801896923174,-9.37360537850888,0.0001965184142935783
IEEE-14,4,452602186,-7.877692325352745,-15.615759905408492,"[5, 0, 0, 0, 0]","[6, 0, 5, 0, 0]",True,1,2,5,11,-7.877692325352745,-7.05348088245074,0.8242114429020058
IEEE-14,5,1845303772,-10.99517618582843,-38.16095809831626,"[6, 5, 0, 0, 0]","[7, 7, 0, 0, 0]",True,2,2,11,14,-10.99517618582843,-9.897298190576745,1.097877995251686
IEEE-14,6,4109650022,-8.617882980466277,-15.760152112086637,"[5, 0, 0, 0, 0]","[6, 0, 6, 0, 0]",True,1,2,5,12,-8.617882980466277,-7.481715473047923,1.136167507418354
IEEE-14,7,2213771504,-11.643330536929462,-38.778184337576654,"[6, 5, 0, 0, 0]","[8, 7, 0, 0, 0]",True,2,2,11,15,-11.643330536929462,-10.074711152317072,1.56861938461239
IEEE-14,8,323773793,-6.649473931513993,-14.636771147984575,"[5, 0, 0, 0, 0]","[6, 0, 5, 0, 0]",True,1,2,5,11,-6.649473931513993,-5.562429973133888,1.0870439583801046
IEEE-14,9,1682658807,-8.202619078751258,-11.253709114439864,"[5, 0, 0, 0, 0]","[0, 0, 5, 0, 4]",True,1,2,5,9,-8.202619078751258,-4.916564906130711,3.286054172620547
IEEE-30,0,3073100591,-3.1738478603604685,-11.222413584011,"[3, 0, 0, 0, 0]","[5, 5, 0, 0, 0]",True,1,2,3,10,-3.1738478603604685,-1.6857126560051183,1.4881352043553502
