instance_id,grid,B,L,m_base,m_extended,qubits_base,qubits_extended,capacity,extra_qubits,gqe_cost,mip_cost,exact_match,mip_ms,mip_status,n_sites,total_mw,total_mwh,n_islanded,islanded_buses,islanded_and_sited,local_served_mw,max_exposure_mw,plan,levels
IEEE-118_v118_core_b4l10_000,IEEE-118,4,10,40,44,6,6,45,0,-16.303062801672755,-16.303062801672755,True,35.26568412780762,optimal,2,250.0,1000.0,0,[],0,0.0,0.0,"{106: 150.0, 75: 100.0}","[6, 4, 0, 0]"
IEEE-118_v118_core_b4l10_002,IEEE-118,4,10,40,44,6,6,45,0,-16.26647432590331,-16.72706110474715,False,17.042160034179688,optimal,3,275.0,1100.0,0,[],0,0.0,0.0,"{106: 100.0, 75: 75.0, 107: 100.0}","[4, 3, 4, 0]"
IEEE-118_v118_core_b4l10_004,IEEE-118,4,10,40,44,6,6,45,0,-9.447001941327134,-9.447001941327134,True,14.822721481323242,optimal,3,325.0,1300.0,0,[],0,0.0,0.0,"{106: 100.0, 75: 125.0, 118: 100.0}","[4, 5, 0, 4]"
IEEE-118_v118_core_b4l10_006,IEEE-118,4,10,40,44,6,6,45,0,-7.706053636582741,-7.706053636582741,True,25.632143020629883,optimal,2,225.0,900.0,0,[],0,0.0,0.0,"{106: 100.0, 75: 125.0}","[4, 5, 0, 0]"
IEEE-118_v118_core_b5l9_000,IEEE-118,5,9,45,50,6,7,63,1,-17.937904115293822,-17.937904115293822,True,18.76974105834961,optimal,3,350.0,1400.0,0,[],0,0.0,0.0,"{106: 100.0, 75: 125.0, 42: 125.0}","[4, 5, 0, 0, 5]"
IEEE-118_v118_core_b5l9_002,IEEE-118,5,9,45,50,6,7,63,1,-22.13150435146902,-22.13150435146902,True,36.97562217712402,optimal,4,425.0,1700.0,0,[],0,0.0,0.0,"{106: 125.0, 75: 100.0, 107: 125.0, 42: 75.0}","[5, 4, 5, 0, 3]"
IEEE-118_v118_core_b5l9_004,IEEE-118,5,9,45,50,6,7,63,1,-22.677984234116803,-22.677984234116803,True,9.7198486328125,optimal,3,275.0,1100.0,0,[],0,0.0,0.0,"{106: 125.0, 75: 75.0, 42: 75.0}","[5, 3, 0, 0, 3]"
IEEE-118_v118_core_b5l9_006,IEEE-118,5,9,45,50,6,7,63,1,-16.774253425002524,-16.774253425002524,True,10.41412353515625,optimal,3,325.0,1300.0,0,[],0,0.0,0.0,"{106: 100.0, 118: 100.0, 42: 125.0}","[4, 0, 0, 4, 5]"
IEEE-14_core_b4l10_000,IEEE-14,4,10,40,44,6,6,45,0,-1.618209615967399,-1.618209615967399,True,16.80302619934082,optimal,1,50.0,200.0,1,[14],1,19.08633037000445,0.2677493103108985,{14: 50.0},"[0, 0, 0, 2]"
IEEE-14_core_b4l10_002,IEEE-14,4,10,40,44,6,6,45,0,-5.219661618708788,-5.306622581715796,False,10.817289352416992,optimal,1,125.0,500.0,0,[],0,0.0,0.0,{4: 125.0},"[0, 0, 5, 0]"
IEEE-14_core_b4l10_004,IEEE-14,4,10,40,44,6,6,45,0,-1.618209615967399,-1.618209615967399,True,17.13252067565918,optimal,1,50.0,200.0,1,[14],1,16.276874043793804,0.2096076858640445,{14: 50.0},"[0, 0, 0, 2]"
IEEE-14_core_b4l10_006,IEEE-14,4,10,40,44,6,6,45,0,-27.184031274077924,-30.448242069632087,False,48.59781265258789,optimal,2,250.0,1000.0,0,[],0,0.0,0.1565990843954278,"{9: 175.0, 4: 75.0}","[7, 0, 3, 0]"
IEEE-14_core_b5l9_000,IEEE-14,5,9,45,50,6,7,63,1,-33.2688007640227,-33.2688007640227,True,22.379159927368164,optimal,2,250.0,1000.0,0,[],0,0.0,0.1262464783779239,"{9: 125.0, 10: 125.0}","[5, 5, 0, 0, 0]"
IEEE-14_core_b5l9_002,IEEE-14,5,9,45,50,6,7,63,1,-30.91120463914064,-33.2688007640227,False,28.531551361083984,optimal,2,250.0,1000.0,0,[],0,0.0,0.073587055553184,"{9: 150.0, 14: 100.0}","[6, 0, 0, 4, 0]"
IEEE-14_core_b5l9_004,IEEE-14,5,9,45,50,6,7,63,1,-12.23612161398428,-15.76015211208668,False,17.52614974975586,optimal,2,275.0,1100.0,0,[],0,0.0,0.0,"{9: 150.0, 11: 125.0}","[6, 0, 0, 0, 5]"
IEEE-14_core_b5l9_006,IEEE-14,5,9,45,50,6,7,63,1,-12.23612161398428,-15.76015211208668,False,23.956775665283203,optimal,2,275.0,1100.0,0,[],0,0.0,0.1873908036233405,"{9: 150.0, 11: 125.0}","[6, 0, 0, 0, 5]"
IEEE-30_v30_core_b4l10_000,IEEE-30,4,10,40,44,6,6,45,0,-9.529155777470963,-9.529155777470963,True,32.08422660827637,optimal,2,250.0,1000.0,0,[],0,0.0,0.0,"{8: 125.0, 28: 125.0}","[5, 5, 0, 0]"
IEEE-30_v30_core_b4l10_002,IEEE-30,4,10,40,44,6,6,45,0,-9.213061990675154,-9.529155777470963,False,20.14350891113281,optimal,2,225.0,900.0,0,[],0,0.0,0.0,"{8: 125.0, 27: 100.0}","[5, 0, 0, 4]"
IEEE-30_v30_core_b4l10_004,IEEE-30,4,10,40,44,6,6,45,0,-8.371691025489067,-8.371691025489067,True,10.767698287963867,optimal,1,125.0,500.0,0,[],0,0.0,0.0,{8: 125.0},"[5, 0, 0, 0]"
IEEE-30_v30_core_b4l10_006,IEEE-30,4,10,40,44,6,6,45,0,-9.529155777470963,-9.529155777470963,True,21.248579025268555,optimal,2,250.0,1000.0,0,[],0,0.0,0.0,"{8: 125.0, 28: 125.0}","[5, 5, 0, 0]"
IEEE-30_v30_core_b5l9_000,IEEE-30,5,9,45,50,6,7,63,1,-9.274977316582069,-9.274977316582069,True,8.67605209350586,optimal,1,125.0,500.0,0,[],0,0.0,0.1579565339966287,{8: 125.0},"[5, 0, 0, 0, 0]"
IEEE-30_v30_core_b5l9_002,IEEE-30,5,9,45,50,6,7,63,1,-8.61733718139044,-8.622681770679957,False,20.68161964416504,optimal,2,250.0,1000.0,0,[],0,0.0,0.0583917591957428,"{8: 125.0, 28: 125.0}","[5, 5, 0, 0, 0]"
IEEE-30_v30_core_b5l9_004,IEEE-30,5,9,45,50,6,7,63,1,-6.363161934348359,-8.622681770679957,False,31.749963760375977,optimal,1,150.0,600.0,0,[],0,0.0,0.0819838597824278,{8: 150.0},"[6, 0, 0, 0, 0]"
IEEE-30_v30_core_b5l9_006,IEEE-30,5,9,45,50,6,7,63,1,-9.274977316582069,-9.274977316582069,True,8.620977401733398,optimal,1,125.0,500.0,0,[],0,0.0,0.2196591760131994,{8: 125.0},"[5, 0, 0, 0, 0]"
IEEE-57_v57_core_b4l10_000,IEEE-57,4,10,40,44,6,6,45,0,-24.46029490999153,-25.71883096405123,False,15.071630477905272,optimal,2,275.0,1100.0,0,[],0,0.0,0.0,"{16: 175.0, 10: 100.0}","[7, 0, 4, 0]"
IEEE-57_v57_core_b4l10_002,IEEE-57,4,10,40,44,6,6,45,0,-24.19565398195581,-25.71883096405123,False,33.434152603149414,optimal,2,275.0,1100.0,0,[],0,0.0,0.0,"{16: 175.0, 51: 100.0}","[7, 0, 0, 4]"
IEEE-57_v57_core_b4l10_004,IEEE-57,4,10,40,44,6,6,45,0,-23.462122870522627,-23.53857364607221,False,9.529590606689451,optimal,2,225.0,900.0,0,[],0,0.0,0.0,"{16: 125.0, 12: 100.0}","[5, 4, 0, 0]"
