circuit_id,source,instance_id,grid,m,n,k,len_tokens,gates_1q,gates_2q,transpiled_native_1q,transpiled_native_2q,transpiled_depth,median_margin,min_topq_margin,derived_shots,pred_exact_match_C3,pred_gap_C3,pred_margin_shrink_C3,est_qpu_shots_total,est_qpu_cost,est_wall_time_s,routed_2q,routed_1q,routed_depth,mapping,pred_pass_routed,margin_shrink_routed
GQE_ieee14_IEEE-14_core_b5l9_000,GQE,IEEE-14_core_b5l9_000,IEEE-14,45,6,2,19.0,4,15,4,30,19,0.1243856974025341,0.182692431062408,261,True,0.0,0.9649147299724216,2500,200.3,12.5,31.0,107.0,54.0,"[81, 90, 91, 92, 99, 100]",False,0.5639112058280386
GQE_ieee14_IEEE-14_core_b5l9_001,GQE,IEEE-14_core_b5l9_001,IEEE-14,45,6,2,19.0,4,15,4,30,19,0.1243856974025341,0.182692431062408,261,True,0.0,0.9649147299724216,2500,200.3,12.5,31.0,107.0,54.0,"[81, 90, 91, 92, 99, 100]",False,0.5639112058280386
GQE_ieee14_IEEE-14_core_b5l9_002,GQE,IEEE-14_core_b5l9_002,IEEE-14,45,6,2,19.0,4,15,4,30,19,0.1243856974025341,0.182692431062408,261,True,0.0,0.9649147299724216,2500,200.3,12.5,31.0,107.0,54.0,"[81, 90, 91, 92, 99, 100]",False,0.5639112058280386
GQE_ieee14_IEEE-14_core_b5l9_003,GQE,IEEE-14_core_b5l9_003,IEEE-14,45,6,2,19.0,4,15,4,30,19,0.1243856974025341,0.182692431062408,261,True,0.0,0.9649147299724216,2500,200.3,12.5,31.0,107.0,54.0,"[81, 90, 91, 92, 99, 100]",False,0.5639112058280386
GQE_ieee14_IEEE-14_core_b5l9_004,GQE,IEEE-14_core_b5l9_004,IEEE-14,45,6,2,19.0,4,15,4,30,19,0.1243856974025341,0.182692431062408,261,True,0.0,0.9649147299724216,2500,200.3,12.5,31.0,107.0,54.0,"[81, 90, 91, 92, 99, 100]",False,0.5639112058280386
GQE_ieee14_IEEE-14_core_b5l9_005,GQE,IEEE-14_core_b5l9_005,IEEE-14,45,6,2,19.0,4,15,4,30,19,0.1243856974025341,0.182692431062408,261,True,0.0,0.9649147299724216,2500,200.3,12.5,31.0,107.0,54.0,"[81, 90, 91, 92, 99, 100]",False,0.5639112058280386
GQE_ieee118_IEEE-118_v118_core_b5l9_000,GQE,IEEE-118_v118_core_b5l9_000,IEEE-118,45,6,2,19.0,4,15,4,30,19,0.1243856974025341,0.182692431062408,261,True,0.0,0.9649147299724216,2500,200.3,12.5,31.0,107.0,54.0,"[81, 90, 91, 92, 99, 100]",False,0.5639112058280386
GQE_ieee118_IEEE-118_v118_core_b5l9_001,GQE,IEEE-118_v118_core_b5l9_001,IEEE-118,45,6,2,19.0,5,14,5,28,19,0.1171723927889184,0.1785657430265032,274,False,5.286558874304745,0.9533588921155108,2500,200.3,12.5,37.0,121.0,70.0,"[81, 90, 91, 92, 99, 100]",True,0.4890317389153245
GQE_ieee118_IEEE-118_v118_core_b5l9_002,GQE,IEEE-118_v118_core_b5l9_002,IEEE-118,45,6,2,19.0,5,14,5,28,19,0.1171723927889184,0.1785657430265032,274,False,5.992260556002562,0.9533588921155108,2500,200.3,12.5,37.0,121.0,70.0,"[81, 90, 91, 92, 99, 100]",True,0.4890317389153245
GQE_compression_IEEE-118_compression_k3_000,GQE,IEEE-118_compression_k3_000,IEEE-118,105,7,3,22.0,7,15,7,30,22,0.0611489866632332,0.1437747630219739,427,True,1.7763568394002505e-15,0.9334467405319532,2500,200.3,12.5,32.0,113.0,69.0,"[81, 90, 91, 92, 99, 100, 101]",True,0.5149107255625476
